	ACB	ASW	BEB	CDX	CEU	CHB	CHS	CLM	ESN	FIN	GBR	GIH	GWD	IBS	ITU	JPT	KHV	LWK	MSL	MXL	PEL	PJL	PUR	SIB	STU	TSI	YRI	EAS	EUR	AFR	SAS	AMR
ACB	0.000000	0.000050	0.001473	0.000115	0.005051	0.000126	0.000090	0.002568	0.000023	0.004806	0.005172	0.002132	-0.000020	0.005007	0.001769	0.000102	0.000166	-0.000014	-0.000014	0.001940	0.000854	0.002050	0.002502	0.007327	0.001521	0.005032	0.000030	0.002758	0.005015	-0.000034	0.001778	0.001923
ASW	0.000050	0.000000	0.000751	-0.000057	0.003641	-0.000054	-0.000061	0.001588	0.000335	0.003433	0.003745	0.001247	0.000235	0.003604	0.000970	-0.000059	-0.000043	0.000249	0.000250	0.001100	0.000322	0.001184	0.001536	0.005611	0.000786	0.003626	0.000351	0.001740	0.003611	0.000197	0.000977	0.001086
BEB	0.001473	0.000751	0.000000	0.000604	0.000982	0.000583	0.000656	0.000083	0.002288	0.000873	0.001037	-0.000005	0.002037	0.000962	-0.000051	0.000630	0.000514	0.002074	0.002075	-0.000033	0.000016	-0.000018	0.000067	0.002127	-0.000063	0.000974	0.002328	0.000130	0.000966	0.001934	-0.000050	-0.000035
CDX	0.000115	-0.000057	0.000604	0.000000	0.003320	-0.000064	-0.000063	0.001376	0.000450	0.003121	0.003419	0.001059	0.000336	0.003284	0.000804	-0.000064	-0.000061	0.000352	0.000353	0.000923	0.000223	0.001000	0.001327	0.005210	0.000636	0.003305	0.000468	0.001517	0.003291	0.000292	0.000810	0.000910
CEU	0.005051	0.003641	0.000982	0.003320	0.000000	0.003273	0.003434	0.000346	0.006465	-0.000061	-0.000063	0.000545	0.006043	-0.000064	0.000761	0.003378	0.003112	0.006106	0.006107	0.000653	0.001638	0.000590	0.000372	0.000146	0.000943	-0.000064	0.006531	0.000275	-0.000064	0.005866	0.000756	0.000664
CHB	0.000126	-0.000054	0.000583	-0.000064	0.003273	0.000000	-0.000062	0.001346	0.000468	0.003076	0.003371	0.001032	0.000352	0.003238	0.000780	-0.000063	-0.000062	0.000369	0.000369	0.000898	0.000209	0.000974	0.001297	0.005151	0.000615	0.003258	0.000487	0.001486	0.003245	0.000307	0.000786	0.000885
CHS	0.000090	-0.000061	0.000656	-0.000063	0.003434	-0.000062	0.000000	0.001451	0.000406	0.003232	0.003535	0.001125	0.000298	0.003398	0.000863	-0.000064	-0.000056	0.000314	0.000314	0.000985	0.000257	0.001065	0.001401	0.005354	0.000689	0.003419	0.000424	0.001596	0.003405	0.000256	0.000869	0.000972
CLM	0.002568	0.001588	0.000083	0.001376	0.000346	0.001346	0.001451	0.000000	0.003608	0.000278	0.000381	-0.000044	0.003293	0.000333	0.000008	0.001414	0.001242	0.003339	0.003341	-0.000021	0.000378	-0.000035	-0.000063	0.001141	0.000068	0.000340	0.003657	-0.000061	0.000336	0.003162	0.000007	-0.000018
ESN	0.000023	0.000335	0.002288	0.000450	0.006465	0.000468	0.000406	0.003608	0.000000	0.006188	0.006603	0.003090	-0.000057	0.006416	0.002652	0.000428	0.000535	-0.000059	-0.000059	0.002859	0.001503	0.002991	0.003530	0.009009	0.002348	0.006445	-0.000064	0.003832	0.006425	-0.000049	0.002662	0.002838
FIN	0.004806	0.003433	0.000873	0.003121	-0.000061	0.003076	0.003232	0.000278	0.006188	0.000000	-0.000057	0.000462	0.005775	-0.000062	0.000665	0.003177	0.002920	0.005837	0.005838	0.000563	0.001498	0.000504	0.000303	0.000199	0.000836	-0.000061	0.006252	0.000214	-0.000062	0.005602	0.000659	0.000573
GBR	0.005172	0.003745	0.001037	0.003419	-0.000063	0.003371	0.003535	0.000381	0.006603	-0.000057	0.000000	0.000588	0.006176	-0.000062	0.000811	0.003478	0.003208	0.006239	0.006241	0.000699	0.001708	0.000634	0.000408	0.000122	0.000997	-0.000063	0.006669	0.000307	-0.000063	0.005997	0.000805	0.000710
GIH	0.002132	0.001247	-0.000005	0.001059	0.000545	0.001032	0.001125	-0.000044	0.003090	0.000462	0.000588	0.000000	0.002798	0.000530	-0.000047	0.001092	0.000940	0.002841	0.002842	-0.000059	0.000211	-0.000063	-0.000049	0.001469	-0.000014	0.000539	0.003135	-0.000025	0.000533	0.002677	-0.000048	-0.000059
GWD	-0.000020	0.000235	0.002037	0.000336	0.006043	0.000352	0.000298	0.003293	-0.000057	0.005775	0.006176	0.002798	0.000000	0.005995	0.002382	0.000317	0.000412	-0.000064	-0.000064	0.002579	0.001300	0.002704	0.003218	0.008509	0.002093	0.006023	-0.000054	0.003507	0.006004	-0.000063	0.002391	0.002558
IBS	0.005007	0.003604	0.000962	0.003284	-0.000064	0.003238	0.003398	0.000333	0.006416	-0.000062	-0.000062	0.000530	0.005995	0.000000	0.000744	0.003342	0.003077	0.006058	0.006059	0.000636	0.001612	0.000574	0.000360	0.000154	0.000924	-0.000064	0.006481	0.000264	-0.000064	0.005819	0.000738	0.000647
ITU	0.001769	0.000970	-0.000051	0.000804	0.000761	0.000780	0.000863	0.000008	0.002652	0.000665	0.000811	-0.000047	0.002382	0.000744	0.000000	0.000833	0.000700	0.002422	0.002423	-0.000060	0.000093	-0.000054	-0.000002	0.001802	-0.000055	0.000754	0.002694	0.000042	0.000747	0.002270	-0.000064	-0.000061
JPT	0.000102	-0.000059	0.000630	-0.000064	0.003378	-0.000063	-0.000064	0.001414	0.000428	0.003177	0.003478	0.001092	0.000317	0.003342	0.000833	0.000000	-0.000058	0.000332	0.000333	0.000954	0.000240	0.001033	0.001364	0.005284	0.000662	0.003363	0.000446	0.001557	0.003349	0.000273	0.000839	0.000942
