,ACB,ASW,BEB,CDX,CEU,CHB,CHS,CLM,ESN,FIN,GBR,GIH,GWD,IBS,ITU,JPT,KHV,LWK,MSL,MXL,PEL,PJL,PUR,SIB,STU,TSI,YRI
ACB,0.0,0.00017270161520133466,0.0019269743666996695,0.000781537111248896,0.0031791167191957334,0.0004529464723393323,0.0015752801061038625,0.0021321508544147275,1.171211196503238e-05,0.006326355841641412,0.004184674636138888,0.00340360103666633,0.00014013553460466105,0.001741688008890709,0.004747203681196369,0.0002882606701865205,0.003824695156447213,0.0008406459090040714,0.00311257763132663,0.00666531496529008,0.0016759114557774889,0.004267276728347692,0.0023849982267517087,0.001610093609429296,0.003919597983373568,0.0022256161581941662,0.0011820124543793554
ASW,0.00017270161520133466,0.0,0.0008557079612377141,0.00021031351528621396,0.0016221994806726128,6.001573025929672e-05,0.0006198883860555645,0.000986415550558949,8.902335002589332e-05,0.004205410676803916,0.0025868050136738153,0.0019366405547778349,0.0005513202455427829,0.0007216152648929887,0.002922323346353692,1.2256661018585047e-05,0.0021748361846616617,0.00023722209529324065,0.0048431187722412965,0.0044938959217958275,0.0007065992060859505,0.002421996000378097,0.0011429174010399513,0.0006964210683702025,0.0022721763195834364,0.0010885270929266817,0.0020181191268876003
BEB,0.0019269743666996695,0.0008557079612377141,0.0,0.0002497604689672134,0.00019926762973420384,0.000511212425860233,1.2681504566500598e-05,5.378034256399755e-06,0.0016530016352542662,0.001243446194408298,0.00041829160319654105,0.00020040866616324887,0.0031249940439407576,2.650709954340879e-06,0.0006124624954487194,0.0007224856888095959,0.00032182723252677676,0.0002226623616404571,0.009508835400987667,0.0013936344497949141,9.625671672389133e-06,0.0004905787771049953,2.6638341760574727e-05,0.00013566760381365656,0.0003441413109907133,9.270429807676789e-06,0.0062020114705010594
CDX,0.000781537111248896,0.00021031351528621396,0.0002497604689672134,0.0,0.0008175148176349941,4.557974524769087e-05,0.00014357284355433257,0.00032631817396519216,0.0005788609687187264,0.002643192583198578,0.0013539012041664108,0.0009134944737668866,0.0014857450550305612,0.0001936106153433371,0.0016548486070203559,0.0001222190610915207,0.0011264829954863865,9.56606912818125e-07,0.007089531136273551,0.002868285642721198,0.00016466080890575654,0.0013725563984731297,0.00043013405143675626,0.0004058262860099294,0.0011803779432083459,0.0003634004000593191,0.0037053960470104243
CEU,0.0031791167191957334,0.0016221994806726128,0.00019926762973420384,0.0008175148176349941,0.0,0.0012569101312057563,0.00031905579425889325,0.00014019856984380465,0.0029637511364021996,0.0004150030556340067,3.694852646898861e-05,5.164097492423169e-09,0.004944398265095862,0.00025282239055215484,0.00010401743451151846,0.0015661190325768515,1.2711467024039813e-05,0.0007818315873717954,0.01118636800104134,0.00049988234834732,0.0002909410267040282,6.172194287602278e-05,8.226236991434051e-05,2.5751453366863985e-06,1.7314936561244757e-05,0.00011811535213434515,0.008622341495474172
CHB,0.0004529464723393323,6.001573025929672e-05,0.000511212425860233,4.557974524769087e-05,0.0012569101312057563,0.0,0.00034901994298178906,0.0006193004771224928,0.0003097875337330996,0.003395686977132619,0.0018958024386575656,0.0013725690122095991,0.001051695511907867,0.0004265530432336877,0.002262687237403198,1.8567053290594983e-05,0.001638772916751495,5.984590723006781e-05,0.005959693377955396,0.0036483246208756774,0.00038518037945120504,0.0019393081566293625,0.0007604785721081619,0.0006357083708515477,0.0017017078341674036,0.0006691802528203024,0.0030158923307881218
CHS,0.0015752801061038625,0.0006198883860555645,1.2681504566500598e-05,0.00014357284355433257,0.00031905579425889325,0.00034901994298178906,0.0,3.446400831223938e-05,0.0013675265111786619,0.0014553622833186675,0.0005495387690859168,0.00030335573589869034,0.002767626094611771,3.788418026929115e-06,0.0007793490212747837,0.0005229294286581133,0.0004558423748152633,0.00012408714531063166,0.008329535021103094,0.0016114510452021667,2.2233760943822332e-07,0.0006641472085185737,7.60818033477484e-05,0.00023269313466716608,0.00047854110230536093,4.229839798460062e-05,0.005681116669088916
CLM,0.0021321508544147275,0.000986415550558949,5.378034256399755e-06,0.00032631817396519216,0.00014019856984380465,0.0006193004771224928,3.446400831223938e-05,0.0,0.0018472278928626457,0.001084893149307544,0.00032933544879410994,0.00014027518429064766,0.0033916334473744277,1.5523133798965942e-05,0.0005029437595424217,0.0008498141456514258,0.00024395764761698044,0.00029579316389131445,0.009924768518518505,0.0012254206781405583,2.9361700081268326e-05,0.0003937918621226781,8.088274635381552e-06,0.00010067224281781326,0.0002634266208140874,5.423715056812209e-07,0.006575830132452986
ESN,1.171211196503238e-05,8.902335002589332e-05,0.0016530016352542662,0.0005788609687187264,0.0029637511364021996,0.0003097875337330996,0.0013675265111786619,0.0018472278928626457,0.0,0.005680322863649017,0.0036309817193354017,0.0029585772023462075,0.00023989313337108474,0.0015183404295963916,0.00423591117226334,0.00017833284944434997,0.0034252064084171144,0.000633654284563656,0.0033277920730504238,0.005985680007979268,0.0014054337426971685,0.003942531495028269,0.002100494195052029,0.0017207887153150104,0.003484550065967953,0.0018821719090371743,0.0014685917373002788
FIN,0.006326355841641412,0.004205410676803916,0.001243446194408298,0.002643192583198578,0.0004150030556340067,0.003395686977132619,0.0014553622833186675,0.001084893149307544,0.005680322863649017,0.0,0.00021719049119246607,0.000451598190863334,0.008020856084696224,0.0013233538915052782,0.00011353391490887544,0.003915440975300178,0.00030537453482387884,0.002553099027649632,0.01808649649936647,4.499589709782184e-06,0.0014808798365314858,0.0001706239393710505,0.0009001471726194104,0.00015851968065764874,0.00028508421993839753,0.0010513811880491228,0.012621450410321105
