,ACB,ASW,BEB,CDX,CEU,CHB,CHS,CLM,ESN,FIN,GBR,GIH,GWD,IBS,ITU,JPT,KHV,LWK,MSL,MXL,PEL,PJL,PUR,SIB,STU,TSI,YRI
ACB,0.0,0.003781434340797078,0.00033992198138407825,0.0002765634999991122,0.0005005916553510805,0.0010528977170920566,0.0014258859020540385,3.760573963166672e-06,0.00041852094604759066,7.097621263258726e-08,0.0006820765441454934,0.0038552078272089388,0.0003487020534676422,8.849149697217876e-05,0.0007271803141945683,0.0028848220712086887,4.340781291049725e-05,0.005022053607591098,4.7957294530610785e-05,0.0009446298823612255,0.001973572782142704,0.009541641085817032,0.00016951079166775598,0.0006605808164197397,0.004329364134425035,0.0001307558898875522,6.204731892022233e-08
ASW,0.003781434340797078,0.0,0.0018165448888977861,0.002081881523572262,0.006341035205094851,0.0008830222381905835,0.0004996289775550174,0.003454303153098413,0.0015822234082568216,0.0038972659934716283,0.007873574098184054,1.3073425321838815e-07,0.005790501500797277,0.0025090663336618814,0.0012303097903957935,7.470990195895017e-05,0.0029914077302721316,6.978712861063786e-05,0.004775217564318875,0.0009917133628474606,0.0003057425682990858,0.0012028644919125481,0.005342259849242555,0.003761025919001768,1.1011131846538155e-05,0.005372043656655613,0.003389684167979748
BEB,0.00033992198138407825,0.0018165448888977861,0.0,3.084507884745424e-06,0.0016802932730261883,0.00019313061069068692,0.00039535335540774163,0.000273779019056314,4.708835734492968e-06,0.0003434764017691059,0.0019183787076511145,0.0018887481681064047,0.0013874179409818952,7.98061251698784e-05,7.131809190532743e-05,0.0012321794242245408,0.0001413059007863185,0.002720802718179449,0.0006306120039822589,0.0001486323044211463,0.0006771284184813817,0.006470464938602906,0.0009951844378825925,0.0016693598813766763,0.0022430361782938236,0.0008820433199593072,0.00034478447981318533
CDX,0.0002765634999991122,0.002081881523572262,3.084507884745424e-06,0.0,0.0014343005003155107,0.0002474757657467331,0.0004364323220883833,0.0002123114077572903,1.4799729958164567e-05,0.0002880716184502125,0.0018524382966581768,0.002047679185645452,0.0011732768810960624,4.8342476099301204e-05,0.0001047349858379561,0.0013613334704266084,0.00010070777887244076,0.0029250635139179584,0.0005595758243098594,0.0001984596204260801,0.0007545749328381017,0.006328217015201668,0.0008592007764843882,0.0012224238099743825,0.0023729354306973247,0.0007909891306757159,0.00026168369910461927
CEU,0.0005005916553510805,0.006341035205094851,0.0016802932730261883,0.0014343005003155107,0.0,0.002897742637197666,0.003757714022465353,0.0006022881714141412,0.00188331121531467,0.00047126083340384684,1.146867130056574e-05,0.0068957563366715035,1.4213341820107686e-05,0.0010437816679553886,0.002365661596554539,0.005600450264291724,0.0008408658926880708,0.00834818991542333,0.00023252569664016648,0.0026850827228842547,0.004443513381605732,0.014880058651809256,9.372404854891901e-05,0.00011889838675719396,0.007663090931776141,0.00012147172603650067,0.0005084426589668123
CHB,0.0010528977170920566,0.0008830222381905835,0.00019313061069068692,0.0002474757657467331,0.002897742637197666,0.0,3.476235926233494e-05,0.0009225251285204483,0.00013517161544446848,0.0010692299931261385,0.003418766061126536,0.0008792531428415677,0.0025154286543080306,0.0005073323331747293,3.0221332631519867e-05,0.0004521204745100835,0.0006669037936734519,0.0014798245554934074,0.0015491856470534495,2.7802800296392047e-06,0.00014386511035328545,0.004279235886413929,0.002045919974098453,0.002259316013927858,0.0011108700065099353,0.0019273375722749172,0.0010078627100173368
CHS,0.0014258859020540385,0.0004996289775550174,0.00039535335540774163,0.0004364323220883833,0.003757714022465353,3.476235926233494e-05,0.0,0.0013142191515900332,0.00031801428349453664,0.0013927110406877147,0.003746859432893977,0.000532544290884637,0.0033105027614384157,0.0008395482251066508,0.0001273297523716671,0.00022108169103644276,0.0009909513728340062,0.0009983645475082701,0.0019075364588633807,5.5685337993557783e-05,3.516745203410799e-05,0.003710318370727728,0.002620540756103407,0.003641622665088058,0.0007300613600891044,0.0023457342821773856,0.001503266873649512
CLM,3.760573963166672e-06,0.003454303153098413,0.000273779019056314,0.0002123114077572903,0.0006022881714141412,0.0009225251285204483,0.0013142191515900332,0.0,0.0003484851160067076,4.785009522103963e-06,0.0007680582703043161,0.0035963751994868135,0.00043273301264752184,5.700977912009067e-05,0.0006219248322153436,0.0026637317255167603,2.157793548848004e-05,0.00471391839596917,7.731009198665267e-05,0.0008185935927332262,0.0018115312797439241,0.009355304038085759,0.00022506986017599,0.0008032957526788627,0.004082109033045771,0.0001769465698874958,4.728682608212976e-06
ESN,0.00041852094604759066,0.0015822234082568216,4.708835734492968e-06,1.4799729958164567e-05,0.00188331121531467,0.00013517161544446848,0.00031801428349453664,0.0003484851160067076,0.0,0.0004173279030013905,0.0020406935255930514,0.0016783138256479663,0.0015708796484573066,0.00012404165801631773,3.8782781753780975e-05,0.0010675819817595627,0.00019564109361036526,0.0024560491195687903,0.0007244222095034163,9.850171730412405e-05,0.0005650523333131158,0.006189064516313911,0.0011325463279660056,0.0019656303482983345,0.0020237942299387713,0.0009938422007029657,0.0004353723113103598
FIN,7.097621263258726e-08,0.0038972659934716283,0.0003434764017691059,0.0002880716184502125,0.00047126083340384684,0.0010692299931261385,0.0013927110406877147,4.785009522103963e-06,0.0004173279030013905,0.0,0.0006795666669148527,0.003871795215137351,0.0003266933487556827,9.065287996927362e-05,0.0007391716994320272,0.0029014649669047636,4.647652694653079e-05,0.005049534359547921,4.466168771537334e-05,0.0009649022844428658,0.0019661429770933343,0.009267132616493281,0.0001596213409782269,0.000579935661223591,0.004309666826469724,0.00012493446778505683,1.4223781508292103e-10
GBR,0.0006820765441454934,0.007873574098184054,0.0019183787076511145,0.0018524382966581768,1.146867130056574e-05,0.003418766061126536,0.003746859432893977,0.0007680582703043161,0.0020406935255930514,0.0006795666669148527,0.0,0.007683116268451109,4.8235483971512654e-05,0.0011775055642614571,0.002800663419396851,0.006299285540592249,0.0010547996203830398,0.009317064048079058,0.0003766912538129674,0.00324721446417547,0.0048166164559270315,0.014201951142732205,0.00016915436647279823,4.0141895078472265e-05,0.00821150566713843,0.00022135244273798434,0.0006022280583664283
GIH,0.0038552078272089388,1.3073425321838815e-07,0.0018887481681064047,0.002047679185645452,0.0068957563366715035,0.0008792531428415677,0.000532544290884637,0.0035963751994868135,0.0016783138256479663,0.003871795215137351,0.007683116268451109,0.0,0.006296453156533197,0.0026852807664722055,0.0012357438891989422,7.045734859705718e-05,0.0030761508389731003,7.77020728861779e-05,0.0047403614500781425,0.0009786689543567705,0.00030866077710112313,0.0013418890497987916,0.00559708696821752,0.004776435011146739,1.412903127068164e-05,0.005397324037007859,0.0036957779387071323
GWD,0.0003487020534676422,0.005790501500797277,0.0013874179409818952,0.0011732768810960624,1.4213341820107686e-05,0.0025154286543080306,0.0033105027614384157,0.00043273301264752184,0.0015708796484573066,0.0003266933487556827,4.8235483971512654e-05,0.006296453156533197,0.0,0.000814596217074143,0.002020510926271758,0.005061672107200572,0.0006389314414045853,0.007689324643628161,0.00013506011677841888,0.0023200960234525756,0.003959650182277221,0.013980774523937145,3.524261446380737e-05,0.00019425063418786661,0.007025409292890604,5.420288952045292e-05,0.0003526960872679715
IBS,8.849149697217876e-05,0.0025090663336618814,7.98061251698784e-05,4.8342476099301204e-05,0.0010437816679553886,0.0005073323331747293,0.0008395482251066508,5.700977912009067e-05,0.00012404165801631773,9.065287996927362e-05,0.0011775055642614571,0.0026852807664722055,0.000814596217074143,0.0,0.00029495636495655535,0.0018966684384442959,8.474089803419211e-06,0.0036414510603131945,0.0002558662154910675,0.00043068957862982114,0.0012120006374692351,0.00806621086288767,0.0005068285835035446,0.0013001010179260102,0.0031303887247521997,0.00042116466593772767,9.539143428886581e-05
ITU,0.0007271803141945683,0.0012303097903957935,7.131809190532743e-05,0.0001047349858379561,0.002365661596554539,3.0221332631519867e-05,0.0001273297523716671,0.0006219248322153436,3.8782781753780975e-05,0.0007391716994320272,0.002800663419396851,0.0012357438891989422,0.002020510926271758,0.00029495636495655535,0.0,0.0007162835916309841,0.0004143827438397206,0.0019325914885875504,0.0011453420454570723,1.4636082073931151e-05,0.0003059083223142119,0.005039983694270595,0.0015868224353532557,0.0019535591790804194,0.001509133695267058,0.0014741733807572249,0.0007026308481906493
