,ACB,ASW,BEB,CDX,CEU,CHB,CHS,CLM,ESN,FIN,GBR,GIH,GWD,IBS,ITU,JPT,KHV,LWK,MSL,MXL,PEL,PJL,PUR,SIB,STU,TSI,YRI
ACB,0.0,0.0029723949197601176,0.12418269858966405,0.03729182954198677,0.26756736035941636,0.04367694789730404,0.05563052305958353,0.1481940570704174,0.0044424466981581425,0.23430704182643422,0.23553984750848694,0.1022332954295779,0.0035890981414824605,0.24320961314035866,0.09769161157024911,0.07139680666565348,0.042363278102398524,0.00015673981191227925,0.0036186262337855636,0.16301502574655333,0.18018368680434277,0.13466285245305004,0.16006188362793483,0.17881065390414824,0.13327022796768592,0.224965467251498,0.003477223067959412
ASW,0.0029723949197601176,0.0,0.08724716396726417,0.019316917225492256,0.2176046859678224,0.023497250731783527,0.029752650521326286,0.10878221218575394,0.013500395745882103,0.20575329101109774,0.21087839471666076,0.07195356057698683,0.011464276982816511,0.19685791046383075,0.06732772144860837,0.04530093244409676,0.02166244887313228,0.004586954966464607,0.013237606682493835,0.13105221752074805,0.14134487577110538,0.09452752720749072,0.11859030822801002,0.11192482705445277,0.09821628835584127,0.1922413733292364,0.011275609871387114
BEB,0.12418269858966405,0.08724716396726417,0.0,0.026599126328493018,0.03363662612076669,0.022037230093273814,0.01394909211794231,0.0012575726086018388,0.16860298959207778,0.02598061839270679,0.028031028527222175,0.0010158041361053847,0.1594446976042005,0.024543459235034447,0.0016358152841876054,0.007787798717516333,0.023211910871350463,0.13257469380934356,0.16654977905769436,0.004175459525914484,0.006626159604818089,0.00023528286994282458,0.002669007091768721,0.015366265227243455,0.00024715425328288514,0.021113670546495232,0.1587429421795464
CDX,0.03729182954198677,0.019316917225492256,0.026599126328493018,0.0,0.11674524707218685,0.00023444733887211512,0.0018283581390461717,0.03928545738463684,0.06400924553594776,0.10306238554685253,0.10645431385394968,0.017434904351026893,0.058356832552908675,0.10018248044357574,0.01526886168114983,0.005750038434659045,0.00012727731449371486,0.04274194802760535,0.0641913837461232,0.05155006858066688,0.059483354163559946,0.03145537522374682,0.04573782217048339,0.05960472471618134,0.03213393707154468,0.09372885902324593,0.0579211489504519
CEU,0.26756736035941636,0.2176046859678224,0.03363662612076669,0.11674524707218685,0.0,0.10730069673421856,0.08655270886109113,0.022063838677095958,0.32251597341488053,0.00020873416848427097,2.510264823396877e-05,0.04605553447179325,0.30856571344946204,0.0007247863021738537,0.049794862405034154,0.07273161707719432,0.10912921588153258,0.2799503568569573,0.32386268167770343,0.013638976567154286,0.010458160848234864,0.028183324600936567,0.01754498728177216,0.0005271441290190519,0.028186694406778307,0.0011314148242470043,0.30766964069547115
CHB,0.04367694789730404,0.023497250731783527,0.022037230093273814,0.00023444733887211512,0.10730069673421856,0.0,0.0007991765252316295,0.03368533266763927,0.07286181797931748,0.09229609796345375,0.0951984963538133,0.013609857368581611,0.06711825410593647,0.09116058467803394,0.01172978407425802,0.0036664452764408376,1.5472097082433865e-05,0.04926163227797124,0.07201134024564076,0.04448671987325908,0.052267039950485115,0.026622430528500857,0.03975390653027876,0.05696371718283909,0.026913008107625393,0.08383558954460664,0.06664779094485525
CHS,0.05563052305958353,0.029752650521326286,0.01394909211794231,0.0018283581390461717,0.08655270886109113,0.0007991765252316295,0.0,0.023137744331488734,0.09148181985502399,0.06661585949906064,0.06788378790157015,0.0072005670891513475,0.08774737460132954,0.07144160565884611,0.005948621152440147,0.0009463825945700999,0.0010632109233812343,0.059882590372860714,0.08377834770562942,0.029951628497347893,0.03744578467324989,0.017948538368746898,0.02828955129773322,0.05825385953779606,0.017238645646174205,0.060983567883506944,0.08720377113791399
CLM,0.1481940570704174,0.10878221218575394,0.0012575726086018388,0.03928545738463684,0.022063838677095958,0.03368533266763927,0.023137744331488734,0.0,0.19459592799208994,0.01649655273610909,0.01834247200063546,0.004525467689403948,0.18403303414233485,0.014825247388474804,0.0057573077859931375,0.015278262615408484,0.03499132232452821,0.1577062079622259,0.19405498552907283,0.0009021329452367339,0.002142667639180158,0.0004032177182156219,0.00026268341388298,0.008855764987732488,0.0003869887155375894,0.012477429601490831,0.1832896117790431
ESN,0.0044424466981581425,0.013500395745882103,0.16860298959207778,0.06400924553594776,0.32251597341488053,0.07286181797931748,0.09148181985502399,0.19459592799208994,0.0,0.2747177386530905,0.27357641824552337,0.1406495447316422,3.496520469566536e-05,0.29545378829957375,0.13622944848466714,0.10607327020842318,0.07260704358465582,0.002865687123643373,4.313228717602809e-05,0.20368747690683187,0.2263081971370446,0.18182884629006005,0.20814283973359848,0.24854929971821124,0.17597420584797593,0.26776647295670225,4.718044427578518e-05
FIN,0.23430704182643422,0.20575329101109774,0.02598061839270679,0.10306238554685253,0.00020873416848427097,0.09229609796345375,0.06661585949906064,0.01649655273610909,0.2747177386530905,0.0,9.393502983243486e-05,0.03842468161738009,0.2540505127618035,0.0001342184654295031,0.04129104751062651,0.06162334559712626,0.09039190013239778,0.2532912089151732,0.29613584471527526,0.010565836009912403,0.007343271753787941,0.020944917215943545,0.012674214455286902,8.706551911908033e-05,0.02229695001803772,0.00037398591127615384,0.25323082537227
