,ACB,ASW,BEB,CDX,CEU,CHB,CHS,CLM,ESN,FIN,GBR,GIH,GWD,IBS,ITU,JPT,KHV,LWK,MSL,MXL,PEL,PJL,PUR,SIB,STU,TSI,YRI
ACB,0.0,0.0019965047408660335,0.026590598688678226,0.013234485144847803,0.005770227409722369,0.008137165898925105,0.012987109287718238,2.448957623707888e-05,0.00037199701990297656,0.010779764605933535,0.008157682834406833,0.018423073519857072,7.112513692634307e-05,0.005734591312177996,0.022244124219977714,0.016048762310884934,0.020781838645530157,0.0010307343122958714,5.136996969718379e-06,0.0007541103103426996,0.00927970988893244,0.014113263491344948,0.00016422227392924902,0.00295541685409119,0.022488840683144305,0.005760057427232721,1.6815299088113525e-06
ASW,0.0019965047408660335,0.0,0.013242301013366218,0.004994345409238932,0.0008187303388880333,0.001963607563059431,0.0041871910152478835,0.0023633345153964477,0.0037320178879092273,0.0034180105533171074,0.0020686251321809838,0.00821538774944966,0.0024318207722491677,0.0008068860446839824,0.010792340120681067,0.006598642026096793,0.009399901561386747,0.0001857691985103908,0.0022690632317974124,0.0052630646646654455,0.018579481396666254,0.004905906181295858,0.0009887145399029974,0.000326849315772126,0.010769734683521935,0.0008832804285160127,0.0016316924785776837
BEB,0.026590598688678226,0.013242301013366218,0.0,0.002160669853322939,0.007150276430149758,0.005306727995769004,0.0023473732748776907,0.02796800206500629,0.03238007732709616,0.0034425996406549234,0.005117665102932164,0.0006972608166857492,0.027751503697846593,0.007482949682874347,0.0001687599956808478,0.0012804090039170996,0.00036136010335542423,0.017172394405610972,0.027304952568760418,0.036131187600691415,0.06589917114909821,0.0019764625156356917,0.02232618308354651,0.0036216077175642235,0.0001611408757107726,0.007659511971632009,0.024703528064654964
CDX,0.013234485144847803,0.004994345409238932,0.002160669853322939,0.0,0.0013941337203210217,0.0006806336916356444,3.873096160366776e-06,0.014003660755644453,0.01693237739208728,0.00014503037060722187,0.000639026107720948,0.0004152514406644698,0.013584972728292613,0.0015229961242592188,0.0011455882132196333,0.00012078975113995346,0.0007688766662302118,0.007115284298383028,0.014031146798987747,0.020573286170069323,0.04289295502781929,4.997066818740368e-06,0.010127354806067567,0.0006246320338898873,0.0011633648699362685,0.0016466073403363579,0.01155072758164465
CEU,0.005770227409722369,0.0008187303388880333,0.007150276430149758,0.0013941337203210217,0.0,0.00016891819909935918,0.0014084958975562245,0.006660726505003389,0.009306466889921362,0.0006930307390807759,0.00018417783789052998,0.0032706065819198163,0.00735342399243229,9.38917028419357e-07,0.0049297573673650775,0.002344653197007496,0.0043191144404054775,0.001882475043219785,0.0059112528783938564,0.010243824247432025,0.029446388582649002,0.0017319737338125176,0.004106379858339901,1.306514824231895e-07,0.005062166221064692,1.1252401262839914e-06,0.0057517864937598135
CHB,0.008137165898925105,0.001963607563059431,0.005306727995769004,0.0006806336916356444,0.00016891819909935918,0.0,0.000555046281268866,0.00888821486553486,0.011472767692607586,0.00019861073338862405,7.530415706126453e-07,0.002162779171235143,0.008920512136207736,0.00020035820291986237,0.003598752425115764,0.0013793495603272642,0.002913928108898636,0.0034246611980173094,0.008633434928407471,0.013936015442280637,0.03393553262850319,0.0007893533550528681,0.0058539697444336515,8.403255128761647e-05,0.0036395062089911424,0.00021360330002110836,0.007241999461532103
CHS,0.012987109287718238,0.0041871910152478835,0.0023473732748776907,3.873096160366776e-06,0.0014084958975562245,0.000555046281268866,0.0,0.014271602857418578,0.01793845542194072,9.443082808757834e-05,0.0005004685895983816,0.0004744003522811651,0.015019728702985947,0.0014892663635531606,0.001221502789539738,0.00016133910184916366,0.0008733797515727898,0.006544370488053322,0.01319638494318599,0.01945451286760977,0.04392218561546883,1.875907939434144e-05,0.010370735753619624,0.0008435520286408114,0.001260935852459971,0.0014478816027740766,0.012714596402395254
CLM,2.448957623707888e-05,0.0023633345153964477,0.02796800206500629,0.014003660755644453,0.006660726505003389,0.00888821486553486,0.014271602857418578,0.0,0.00020924629872039942,0.011569472616632989,0.008831300069873435,0.01935019089959898,1.3194206594548156e-05,0.006573880288990922,0.023245802227656473,0.016966673507171334,0.021968581076611107,0.001349472413283692,7.066255567555959e-06,0.00049956249809072,0.008373328496856769,0.015345845509935379,0.00031746587550945753,0.003670121995798386,0.023591504690815116,0.006440219942030204,3.867035123859617e-05
ESN,0.00037199701990297656,0.0037320178879092273,0.03238007732709616,0.01693237739208728,0.009306466889921362,0.011472767692607586,0.01793845542194072,0.00020924629872039942,0.0,0.014383827176097113,0.011286528065051616,0.022790788023831894,0.00011628937327914469,0.009140698800049375,0.02697239661437817,0.0202727676157788,0.02588172370823408,0.0025412552218082485,0.00028254515054962104,6.268311648418606e-05,0.005901368588666921,0.019001204821468307,0.0010418838541815065,0.005541465462790857,0.02746684576001106,0.008741585959136357,0.0004290070005137577
FIN,0.010779764605933535,0.0034180105533171074,0.0034425996406549234,0.00014503037060722187,0.0006930307390807759,0.00019861073338862405,9.443082808757834e-05,0.011569472616632989,0.014383827176097113,0.0,0.0001748110699741589,0.0010523225814018876,0.011413679991868202,0.0007694013586691074,0.0021089757749879236,0.0005314334624799549,0.0015874586805885405,0.0052617003600110455,0.011411411411411582,0.017397399447126653,0.038814701215429355,0.00019886652768181094,0.008066333632775658,0.0003247391604165167,0.0021361705898362907,0.000822058345510603,0.009525839473981515
