,ACB,ASW,BEB,CDX,CEU,CHB,CHS,CLM,ESN,FIN,GBR,GIH,GWD,IBS,ITU,JPT,KHV,LWK,MSL,MXL,PEL,PJL,PUR,SIB,STU,TSI,YRI
ACB,0.0,0.0006081053637812044,0.013485649672675026,0.03280656239082772,0.0010709873227329793,0.03456934268672504,0.021495556063323457,9.195718276836705e-05,0.0007321252525952546,0.00842132117772226,0.005161458752246764,0.007011921539874792,5.475611622329028e-07,0.0027163731734731024,0.012189198150938755,0.03401832272806419,0.04665714746979641,0.00037723571984388173,5.636277413684494e-05,0.0002773085140220555,0.0007552410181636659,0.006316256776850141,0.0005108356745174158,0.01065720543996862,0.006294788616546707,0.002348260005352391,0.0015799780385706158
ASW,0.0006081053637812044,0.0,0.01769919223131414,0.04043413579387669,0.002781027625677104,0.041334712581366305,0.024678192119996098,0.00022818040238802438,0.002398016838113416,0.013049859582545374,0.009208792664674916,0.011240704170399454,0.000557969040734009,0.0051310571616876195,0.01713835206791629,0.040671881518713274,0.051741582859837036,0.0019483151704133902,0.0003113316357730703,0.0017231665210757593,4.063767026254761e-06,0.009524116777524782,0.0020514219878627724,0.004962355614317776,0.010115698262471681,0.005153376219543243,0.0034991579935398777
BEB,0.013485649672675026,0.01769919223131414,0.0,0.004101465031955977,0.006904244595370712,0.004815286308328773,0.0011676961549593869,0.01595228815558566,0.008081610128462802,0.0006331141889692136,0.0019648771526442023,0.0011036471208358534,0.013444861072197837,0.004117306123149781,4.4469439580449525e-05,0.00461654820669609,0.010383016009161,0.009202863902232402,0.01483378089871368,0.009681483193451341,0.020510566905704086,0.0013452301173001563,0.008925144711349798,0.04368108506161834,0.001423045602270532,0.004650766362365975,0.005759474584584577
CDX,0.03280656239082772,0.04043413579387669,0.004101465031955977,0.0,0.020527801604438237,2.4712829528474516e-05,0.000856314964583831,0.0361360256769774,0.023183037332677722,0.008120573385269522,0.012024073802467714,0.009634314080543242,0.030931007794188746,0.01591362020929388,0.005092171188401541,1.2164465932817477e-05,0.0013612234086671233,0.026176238713135833,0.03539400318757524,0.027029829600114255,0.0432934506315606,0.009930491993307278,0.02483144781469595,0.058566061964619956,0.010465698452819569,0.01776155737640177,0.018564057563997118
CEU,0.0010709873227329793,0.002781027625677104,0.006904244595370712,0.020527801604438237,0.0,0.02243355119724988,0.013886724849352905,0.0018111758801176894,3.9818858972939744e-05,0.0031655684430072204,0.001338226821548079,0.0023667605153304683,0.0010831033022211413,0.0003742900117130914,0.005653267841343369,0.022042196954150235,0.03370387941708775,0.00018440888290994193,0.0015300984408422931,0.0002610683683176139,0.0035344471293275253,0.0021934773698603673,0.0001178131742656156,0.021787600825466307,0.0020171092334773178,0.00020594773836685504,5.256477435730248e-05
CHB,0.03456934268672504,0.041334712581366305,0.004815286308328773,2.4712829528474516e-05,0.02243355119724988,0.0,0.0011897451356961569,0.03819296257209652,0.025026368093583436,0.009009424859386618,0.013018770040885128,0.010614153988835298,0.03330649297102214,0.01747165805128066,0.005834938123607446,2.204167443461977e-06,0.0010349591073036534,0.0275783546671217,0.03690203095942762,0.028414709983985372,0.04531196398225444,0.01110342545346037,0.02665438646347563,0.06429231901473746,0.011540775172861506,0.019067987336483024,0.0203606461690506
CHS,0.021495556063323457,0.024678192119996098,0.0011676961549593869,0.000856314964583831,0.013886724849352905,0.0011897451356961569,0.0,0.02488592452385225,0.015233506081464008,0.0033255822843043623,0.005708823457762341,0.0043173701662143505,0.022610418549291866,0.009677974606489394,0.0016073605605839796,0.0010939081463880067,0.004497163111197465,0.015789135411640277,0.022570137942630925,0.016329937821333646,0.029958962148385806,0.005015647416720863,0.01622330847686704,0.0635155443716656,0.004995663817513161,0.009955674445403498,0.012241726511238147
CLM,9.195718276836705e-05,0.00022818040238802438,0.01595228815558566,0.0361360256769774,0.0018111758801176894,0.03819296257209652,0.02488592452385225,0.0,0.0013542916747573011,0.010209530641506048,0.006548956519957198,0.008672196115526607,0.0001047522345676194,0.0038561328420034955,0.014383106747666307,0.03763200214085367,0.05130768684211896,0.0008323764580468512,4.2012282526155025e-06,0.0006796500493987978,0.00031872608492954606,0.008030081670549763,0.001042806647896703,0.009868313571793876,0.007916290998733555,0.003356281328340612,0.0024664420512599196
ESN,0.0007321252525952546,0.002398016838113416,0.008081610128462802,0.023183037332677722,3.9818858972939744e-05,0.025026368093583436,0.015233506081464008,0.0013542916747573011,0.0,0.004051426204539684,0.0019090278672107546,0.0031169435185681603,0.0007033542057431621,0.0006598900139076998,0.006831522598332313,0.02458953102558097,0.036442519951925045,5.944856551150792e-05,0.0011541196261034528,0.00010785762243300189,0.0029439752797587922,0.0028387801203010317,2.124411100621272e-05,0.01831005188272957,0.0026890631829397976,0.0004364271983944604,0.00018290694948878646
FIN,0.00842132117772226,0.013049859582545374,0.0006331141889692136,0.008120573385269522,0.0031655684430072204,0.009009424859386618,0.0033255822843043623,0.010209530641506048,0.004051426204539684,0.0,0.0003915673052697841,6.528518638791042e-05,0.007847231023813279,0.0014452632809078593,0.0003507591295214858,0.00872694349635258,0.01582386371367692,0.005230359279573842,0.009818801662541619,0.005629203275771971,0.014181241969056185,0.0001222512025042888,0.004701545979021215,0.02953658494011947,0.0001536787139082904,0.0018853471313219166,0.0024244561991315647
