,ACB,ASW,BEB,CDX,CEU,CHB,CHS,CLM,ESN,FIN,GBR,GIH,GWD,IBS,ITU,JPT,KHV,LWK,MSL,MXL,PEL,PJL,PUR,SIB,STU,TSI,YRI
ACB,0.0,0.001048462255358781,0.0002764513037473455,0.014238925084308915,0.0022929495204604285,0.0018297633902755244,0.013083233434407631,0.00014571557135283997,0.0012384640667198793,8.734726360432081e-05,0.004566802890748253,2.409272051954276e-06,3.7225689957595006e-07,0.00011692792094583686,0.0005626755612489004,0.001955670102438619,0.00564829953868657,0.00797712063008116,0.006817925184245586,2.397749034885821e-05,0.0006721142405350251,0.0009838669089848292,0.000306370276810802,0.00022243474698377833,0.0018601391024506047,0.002346595468211304,0.00023252307069158683
ASW,0.001048462255358781,0.0,0.002237371926709872,0.00841573453136877,0.00018612059037923957,8.855943321946409e-05,0.006169083340539554,0.0004176410174202315,0.0039867120723422605,0.0017694028716684965,0.0012730305399095323,0.00098144962557406,0.0009324596105065202,0.0016508156959414808,9.2141372714203e-05,0.00011739559285576562,0.0017004189366593499,0.01392630225631467,0.012478455074129055,0.001430079596930246,5.4622898901308836e-05,4.000858030113789e-06,0.00022970630637320162,4.995850933260345e-05,0.005350381222289912,0.00022429957262734665,0.0002642167596336075
BEB,0.0002764513037473455,0.002237371926709872,0.0,0.017327263422718477,0.004214786663727837,0.0034304824723931406,0.016991131660611145,0.0008265343456925357,0.00035862492955589844,5.233976081710498e-05,0.006744225131086386,0.0003259029498207529,0.0002532909652737723,3.250800826413645e-05,0.0015990107250718985,0.0036019028368766775,0.00824467367256687,0.005262669494778376,0.004325884950446074,0.00013481682268865494,0.0017999033701472916,0.0023151580763320473,0.0011707750882954905,0.0007950297669679834,0.0007008250633003486,0.004125845074194592,0.0010246816908819096
CDX,0.014238925084308915,0.00841573453136877,0.017327263422718477,0.0,0.004814887856894572,0.006520268992144263,0.00010864316600831115,0.011273705863859805,0.02083288513059039,0.0170377920167178,0.0031314577080955057,0.014354643569794885,0.012192685238976984,0.014939058924870963,0.009725226574886807,0.006287543065670783,0.002371154580348798,0.041253285075572105,0.03884226504522547,0.016048824439850083,0.009016916596008522,0.007622937069792762,0.010083524170319252,0.003349121416452099,0.025054721170171036,0.0056342746122667875,0.009438538171391975
CEU,0.0022929495204604285,0.00018612059037923957,0.004214786663727837,0.004814887856894572,0.0,2.6568468167639114e-05,0.004260634592705462,0.0013073982439424237,0.007057750736575943,0.0031867268225340382,0.0003802954858355945,0.0021020676122715234,0.0023942775541258665,0.003522518559424661,0.0005787293969332525,1.4155841190749353e-05,0.0006935906096142753,0.018572937413221684,0.016774916170187778,0.002696249500643853,0.0004938328886332652,0.0002865561170592369,0.0009474836937277232,0.0004483567037200845,0.008275275257497055,9.208314273817553e-08,0.0010795890011852487
CHB,0.0018297633902755244,8.855943321946409e-05,0.0034304824723931406,0.006520268992144263,2.6568468167639114e-05,0.0,0.005061303256549985,0.0009344563511682568,0.00571976607806092,0.0027421815550116024,0.0006793364718127302,0.0017185674022136244,0.0017126314266975979,0.0026971274422592463,0.0003718883595258282,2.088164773425684e-06,0.0010494751219123743,0.01716191036579381,0.015483664099721984,0.0022997849543817035,0.0002909984117485203,0.0001305696409881002,0.0006303694908151998,0.00019892329394333427,0.00723963771019349,3.1969114074729147e-05,0.0006894874740055283
CHS,0.013083233434407631,0.006169083340539554,0.016991131660611145,0.00010864316600831115,0.004260634592705462,0.005061303256549985,0.0,0.010437549126409047,0.021732496149131468,0.015266484672361165,0.0019719995714188336,0.012713510738158663,0.012567828138722386,0.015208489714286526,0.008210941922243985,0.004861738883975988,0.0015240338559583267,0.04103818093024249,0.03840585585104708,0.014170526408841306,0.007850327222310187,0.006850879541097177,0.00933408498112333,0.004271522625326095,0.024623719937315894,0.004302384791086512,0.009379790648600913
CLM,0.00014571557135283997,0.0004176410174202315,0.0008265343456925357,0.011273705863859805,0.0013073982439424237,0.0009344563511682568,0.010437549126409047,0.0,0.0022494676514873786,0.0004539951573851207,0.003041343513371497,0.00010955706499844324,0.00015717571897339402,0.0005239951018522885,0.00013486587103470242,0.001024454249416993,0.003944290085631963,0.010262057766721903,0.008938084423322461,0.00028397284543967493,0.0001909716803872497,0.00037486708461115546,2.9780276727403145e-05,4.4003796651269914e-05,0.0030510022902447975,0.0013106078090336186,1.1658729920339588e-05
ESN,0.0012384640667198793,0.0039867120723422605,0.00035862492955589844,0.02083288513059039,0.007057750736575943,0.00571976607806092,0.021732496149131468,0.0022494676514873786,0.0,0.0006559874865253654,0.00950576284369518,0.0013168363988887326,0.0012263858883172088,0.0006114515945296649,0.0033401089071289102,0.0059399071752261525,0.011575071422082884,0.0028218131247543764,0.002151668730661059,0.0008900465133173983,0.003677452679265561,0.004462014648647108,0.002803490976016478,0.002004568915662581,5.519988892517609e-05,0.0066063987039037915,0.002620104971146011
FIN,8.734726360432081e-05,0.0017694028716684965,5.233976081710498e-05,0.0170377920167178,0.0031867268225340382,0.0027421815550116024,0.015266484672361165,0.0004539951573851207,0.0006559874865253654,0.0,0.006031235844900545,0.00011929358501590194,7.065289919130068e-05,2.406318461887937e-06,0.0010986260512944879,0.0028959504756903252,0.007183980513472812,0.006355042016806524,0.005331911490269313,1.983118519966357e-05,0.0012411454012392741,0.0016333479228376187,0.0007110392025095443,0.000419378061773135,0.001129382276033112,0.003367708046798031,0.0005796224859712877
