,ACB,ASW,BEB,CDX,CEU,CHB,CHS,CLM,ESN,FIN,GBR,GIH,GWD,IBS,ITU,JPT,KHV,LWK,MSL,MXL,PEL,PJL,PUR,SIB,STU,TSI,YRI
ACB,0.0,0.0008443551496738765,0.019421597653014544,0.0022571805887078786,0.041240025479183415,0.00011966669856484969,0.0005058401397092251,0.026328067407747832,0.000385722719705172,0.03921795012588956,0.052323326689317835,0.02475243413473751,0.0004420716465684974,0.04951407638365949,0.020336846044261545,9.584384603180378e-06,0.0012523854608014523,0.0008810294289757782,0.0005121602491983425,0.027951924350105267,0.03290262654512358,0.020265215082264743,0.02293885300052541,0.06743471043619333,0.02482243270487794,0.04047994363773365,5.694651990196139e-05
ASW,0.0008443551496738765,0.0,0.011274716217695189,0.0003208178862421254,0.026903057211952387,0.00034555760150949903,4.196876886552797e-05,0.016522484400338284,0.0021792379356362465,0.02866929738475474,0.04121921911505963,0.01618002776464771,5.712402778510285e-05,0.03424572972325586,0.012511497320457284,0.0006925385962890591,2.947859529877012e-05,0.0034719780797451837,0.0026967373388426903,0.019091104162701995,0.02209709054293189,0.011652243745536858,0.013763479801132409,0.04134485895563052,0.01585453217911995,0.02923595668029071,0.0011669072458466063
BEB,0.019421597653014544,0.011274716217695189,0.0,0.008264337201555326,0.004465773249113243,0.016381577666541417,0.013426275853360231,0.0005361850027562097,0.025112914456310663,0.0036089582467058318,0.008492403275890762,0.0003423242415809783,0.013547685532843553,0.007263601277083768,1.1797045280598966e-05,0.018443866205141154,0.010881305634718317,0.028135238820110528,0.02585888519611005,0.0008341747502840542,0.0017996666911082883,1.2352883194190528e-05,0.0001544943057381724,0.02442179737820022,0.00033622653495375573,0.003949624118260954,0.021005600439921567
CDX,0.0022571805887078786,0.0003208178862421254,0.008264337201555326,0.0,0.023362913213521984,0.0013551735778909988,0.0005783151185973452,0.012938538028658325,0.004317626835677266,0.023222723289021904,0.034269718672028444,0.012204978580866159,0.0006239110277486627,0.029913419002449336,0.009077771306754459,0.0019927936710021433,0.00015155755059846466,0.00600508647741952,0.004961597738327337,0.014651922304658987,0.017819015576723586,0.008741657802045544,0.010550262064177588,0.04290652429875555,0.012084859007096974,0.023957284738341165,0.002775441202252793
CEU,0.041240025479183415,0.026903057211952387,0.004465773249113243,0.023362913213521984,0.0,0.03621801463011943,0.033674932120047484,0.0019252440442455647,0.05062499588762488,3.9325082819539835e-05,0.0006496272809954979,0.002229124282054969,0.03408655254992703,0.0003228932690806413,0.003876419732766688,0.03922361700241991,0.028681010420287378,0.05206871934785125,0.04905908376306481,0.0013413888170592107,0.0006027745684421525,0.004056706735142137,0.0029903404463088507,0.012518731665453033,0.0023055662112128235,1.5533493477382697e-05,0.045469601658961044
CHB,0.00011966669856484969,0.00034555760150949903,0.016381577666541417,0.0013551735778909988,0.03621801463011943,0.0,0.0001334583322534037,0.022761194521913858,0.0009139824009597112,0.03548028423989847,0.04843700673456159,0.021616405918344333,0.00010336615819863449,0.044253437681900355,0.017431656448079612,6.175222748089422e-05,0.0005934354028898417,0.0016581507899794546,0.0011323477389119728,0.0247353795549012,0.02904266930681344,0.017059106089602784,0.019561202442684698,0.0585901999072407,0.021544658764867938,0.03651708983787286,0.00032396932791404207
CHS,0.0005058401397092251,4.196876886552797e-05,0.013426275853360231,0.0005783151185973452,0.033674932120047484,0.0001334583322534037,0.0,0.01920663548059321,0.0018110117927608456,0.028894522441225305,0.03932199696231302,0.017185457911513907,1.708445213374483e-06,0.04026898534990071,0.013721748694550687,0.0003697924235032508,0.00015519285677728886,0.002599707689685371,0.0019478611820707295,0.019610813698574283,0.02447140318218921,0.01439624311561874,0.016509965744952042,0.07085425510322828,0.0175117784118054,0.03028161898727533,0.0009302722848155701
CLM,0.026328067407747832,0.016522484400338284,0.0005361850027562097,0.012938538028658325,0.0019252440442455647,0.022761194521913858,0.01920663548059321,0.0,0.03281730118596422,0.001388839769251927,0.00485403396629994,2.0013823441608123e-05,0.019304784822993165,0.0038632711287072312,0.00038450637818894924,0.025176325199493588,0.016210068265209134,0.03627096083212634,0.03368918664172488,3.6296763404209814e-05,0.00037283297021759216,0.00038436747635967955,0.00011489759001082798,0.01901094563231896,2.2619807825268072e-05,0.0015932129075180068,0.02801346607648268
ESN,0.000385722719705172,0.0021792379356362465,0.025112914456310663,0.004317626835677266,0.05062499588762488,0.0009139824009597112,0.0018110117927608456,0.03281730118596422,0.0,0.04518697333620831,0.05800919620619389,0.030147833387095497,0.001691680847899757,0.05887261577422545,0.02550122403111368,0.0005075478467834759,0.0030130083267354353,9.565285862075869e-05,8.121506509730248e-06,0.03330938649221487,0.039624746088523156,0.026383083482512736,0.029242024120944555,0.08697214287279831,0.030611536831483818,0.046945968487989244,0.00014464072791040784
FIN,0.03921795012588956,0.02866929738475474,0.0036089582467058318,0.023222723289021904,3.9325082819539835e-05,0.03548028423989847,0.028894522441225305,0.001388839769251927,0.04518697333620831,0.0,0.0011262449706549657,0.0017819298332935349,0.02856389604051846,0.0005751559823158295,0.0032851065017232227,0.038414852720443635,0.026555374534323425,0.05215028235286056,0.049050017493250254,0.001001224987350376,0.00033484205843206064,0.0031415384877572354,0.002266447928223499,0.009523644680291134,0.0017927596290628726,6.10181530850135e-06,0.03851497870144018
