,ACB,ASW,BEB,CDX,CEU,CHB,CHS,CLM,ESN,FIN,GBR,GIH,GWD,IBS,ITU,JPT,KHV,LWK,MSL,MXL,PEL,PJL,PUR,SIB,STU,TSI,YRI
ACB,0.0,0.0009264865830260568,0.05341395857185511,0.07011957730812003,0.02864340341020243,0.07030127927187509,0.05766154926979342,0.02472001771958171,0.010096479011787698,0.07947824637828645,0.03827439127247624,0.05164792088081182,0.003185093233612355,0.02690000530348441,0.04283108963841635,0.08824049530307758,0.07129196907257233,0.0013158454355172303,0.0025505206000892887,0.025710137932823923,0.03583329813800451,0.028975302696877953,0.01772442555251824,0.018384289796168494,0.034222867993297816,0.030732621486589874,0.004396950582857598
ASW,0.0009264865830260568,0.0,0.03600942406999991,0.05127249834446155,0.016867052095605344,0.050684393227856714,0.03836800819719371,0.014497056785347946,0.01713197167116861,0.05846103783652384,0.02572694705601773,0.035742350956437484,0.0070795260938563065,0.01580107186185513,0.028654537238938026,0.06523260289919051,0.050354033327377326,0.004553614384343529,0.006737852035106963,0.01583119132970056,0.02286195615673644,0.0174006826317702,0.009502356418300065,0.010064016521176746,0.02183827231566215,0.0193737480849009,0.008848031016078462
BEB,0.05341395857185511,0.03600942406999991,0.0,0.0007425903343331189,0.0033820338114579577,0.0008955746303805291,0.00036425135753941307,0.006420690213275983,0.10230872947730112,0.002197929787713844,0.0019587159977550142,0.00010726531520264182,0.08469035541141579,0.004709608699985394,0.000964779014711873,0.004181749793652337,0.0013824404378698142,0.06470434672855749,0.07026370575988883,0.006307440541125733,0.002246694928033721,0.004075020586238022,0.011001739807253618,9.618771209699693e-05,0.0028234737908727973,0.0040877402431036295,0.08961030458087693
CDX,0.07011957730812003,0.05127249834446155,0.0007425903343331189,0.0,0.006882238121862069,6.257542449568873e-06,6.488895041346189e-05,0.011472883967456602,0.12717481332063665,0.00038450271608589045,0.005281606172712821,0.001444129228995552,0.10328134783577309,0.008891667068713076,0.0034582397214037684,0.0013869781590139807,9.04819671803345e-05,0.08548329872608293,0.09243794254878711,0.011756072081978384,0.00558474965786786,0.008113487820598063,0.017321870279815143,0.0007061571389296332,0.006534495605727327,0.008480450047256002,0.10918008314388433
CEU,0.02864340341020243,0.016867052095605344,0.0033820338114579577,0.006882238121862069,0.0,0.007473329481352302,0.006042989528333412,0.00045877774062019907,0.06539460734104817,0.010572761297567249,0.0001599119302996376,0.0021843132063657836,0.052626376658675825,0.00010261292458184322,0.0007044409770953372,0.014592336660093038,0.00898637035356914,0.036669484576701064,0.040715090962098584,0.0004602526209536716,0.00011854803229056518,2.7695491061493824e-05,0.002112836050764028,0.00124124699591206,2.5201163776826005e-05,3.417251286910402e-05,0.05636448686860072
CHB,0.07030127927187509,0.050684393227856714,0.0008955746303805291,6.257542449568873e-06,0.007473329481352302,0.0,0.00011241384944409175,0.012107772660553757,0.12648148758178257,0.00029306652276037245,0.0056035781979628515,0.001641239882129125,0.10430488727565944,0.009527786182695851,0.0037623215718309297,0.001213139607407104,5.003833539358546e-05,0.08458635011706711,0.09125772440485481,0.01220674550775849,0.0060028171416250204,0.008688968894808448,0.018131966852916074,0.0008598531297235633,0.0069628796166405936,0.008933584180201251,0.11003964093878274
CHS,0.05766154926979342,0.03836800819719371,0.00036425135753941307,6.488895041346189e-05,0.006042989528333412,0.00011241384944409175,0.0,0.009597216908036903,0.1056405041455072,0.0007413641800105803,0.003731649022688925,0.0008285247978262649,0.09117001545979674,0.007676408690503726,0.002408505146527255,0.002004404235100915,0.00031703557802319833,0.06709183725647093,0.07221297854921149,0.009066039717245587,0.004299262766799946,0.006812515717381953,0.014992048266874369,0.0006585781725578621,0.0050184632684347735,0.006554971366228895,0.09582634615281008
CLM,0.02472001771958171,0.014497056785347946,0.006420690213275983,0.011472883967456602,0.00045877774062019907,0.012107772660553757,0.009597216908036903,0.0,0.062250418466311006,0.01611038827721343,0.0011981313795602555,0.004847884751458124,0.04659177498618855,0.00013264202609881504,0.002390410828848221,0.020929908110911454,0.01372962589171973,0.03418148996058742,0.038637220959672036,7.248395793023856e-07,0.0010752073784196213,0.0002690144119330377,0.0006186111648535897,0.0021769653884357748,0.0007198953396924822,0.00024374416314063618,0.0505248993797252
ESN,0.010096479011787698,0.01713197167116861,0.10230872947730112,0.12717481332063665,0.06539460734104817,0.12648148758178257,0.1056405041455072,0.062250418466311006,0.0,0.13847142646827149,0.08465721682341913,0.10213537640070504,0.0018778447263669256,0.0640634760316522,0.08985432748597151,0.1489081944903697,0.12610243526138115,0.004113300152955233,0.0024481735418115484,0.06580720383053194,0.07903546896694794,0.06771707690510546,0.05101742486020482,0.037394828874005304,0.07728603086439093,0.07269946640368817,0.0011440099159747046
FIN,0.07947824637828645,0.05846103783652384,0.002197929787713844,0.00038450271608589045,0.010572761297567249,0.00029306652276037245,0.0007413641800105803,0.01611038827721343,0.13847142646827149,0.0,0.008451316137410635,0.003319990601990829,0.11514290884500532,0.01305336282936501,0.006150330437789916,0.0003137569619418461,9.940166906654145e-05,0.09457569664238732,0.10159993783296045,0.01626631941671967,0.008925420879851893,0.012095851023015297,0.022941213396482685,0.0016390425823237945,0.010097242358658623,0.012449643132792601,0.12116095147094283
GBR,0.03827439127247624,0.02572694705601773,0.0019587159977550142,0.005281606172712821,0.0001599119302996376,0.0056035781979628515,0.003731649022688925,0.0011981313795602555,0.08465721682341913,0.008451316137410635,0.0,0.0012031369321940954,0.06334694921330057,0.0005173071384057345,0.00019344430288785081,0.011903736972893141,0.006534564695837071,0.05142205561379668,0.05727808767280645,0.0012899564045231798,5.0139974720507406e-06,0.0003302682279213959,0.0034934518630817236,0.00038555189126812255,6.633174516846879e-05,0.00037395470401552434,0.0682379441126603
GIH,0.05164792088081182,0.035742350956437484,0.00010726531520264182,0.001444129228995552,0.0021843132063657836,0.001641239882129125,0.0008285247978262649,0.004847884751458124,0.10213537640070504,0.003319990601990829,0.0012031369321940954,0.0,0.0811194588186447,0.003299100628854966,0.00043468706180083984,0.005660848670662123,0.0022401205549690824,0.06495785822746168,0.07106299770547109,0.004964720469506892,0.001369246040137217,0.002799777052265533,0.008895268220097079,4.227158586106495e-06,0.0018476087935791422,0.0029337832014001103,0.08634418498509996
GWD,0.003185093233612355,0.0070795260938563065,0.08469035541141579,0.10328134783577309,0.052626376658675825,0.10430488727565944,0.09117001545979674,0.04659177498618855,0.0018778447263669256,0.11514290884500532,0.06334694921330057,0.0811194588186447,0.0,0.04999451572128055,0.07006922311356066,0.12612588205796013,0.10676544308462285,0.00038173044114094847,2.8679113845455006e-05,0.04699778232812573,0.06147475543291875,0.05273083598866323,0.036695746884910785,0.03534414589585138,0.059072487384826795,0.05416276740508801,9.62618321834273e-05
IBS,0.02690000530348441,0.01580107186185513,0.004709608699985394,0.008891667068713076,0.00010261292458184322,0.009527786182695851,0.007676408690503726,0.00013264202609881504,0.0640634760316522,0.01305336282936501,0.0005173071384057345,0.003299100628854966,0.04999451572128055,0.0,0.0013649977598291596,0.01748256167045971,0.011141340561033046,0.03558571445450114,0.039815671592818756,0.0001452328175314876,0.000445172426217474,2.3642503211456992e-05,0.0013167145198494266,0.0016970732016793558,0.00022901575711043124,1.6304653198609116e-05,0.05383075885670797
ITU,0.04283108963841635,0.028654537238938026,0.000964779014711873,0.0034582397214037684,0.0007044409770953372,0.0037623215718309297,0.002408505146527255,0.002390410828848221,0.08985432748597151,0.006150330437789916,0.00019344430288785081,0.00043468706180083984,0.07006922311356066,0.0013649977598291596,0.0,0.009219221025242388,0.004632810325810416,0.055218612265870035,0.06091102998426159,0.002468914552765769,0.00026255991346529987,0.001043549785688972,0.0054222474022065405,0.0001386000301799484,0.0004907121858744708,0.0011110758388620857,0.07495493037816325
JPT,0.08824049530307758,0.06523260289919051,0.004181749793652337,0.0013869781590139807,0.014592336660093038,0.001213139607407104,0.002004404235100915,0.020929908110911454,0.1489081944903697,0.0003137569619418461,0.011903736972893141,0.005660848670662123,0.12612588205796013,0.01748256167045971,0.009219221025242388,0.0,0.0007659900484169038,0.10304328057178651,0.1101250087829031,0.02089513732590471,0.012589399825513568,0.016355956658078066,0.028628145479473524,0.00286999808821922,0.013944230795676657,0.016637605243003676,0.13223640197084024
KHV,0.07129196907257233,0.050354033327377326,0.0013824404378698142,9.04819671803345e-05,0.00898637035356914,5.003833539358546e-05,0.00031703557802319833,0.01372962589171973,0.12610243526138115,9.940166906654145e-05,0.006534564695837071,0.0022401205549690824,0.10676544308462285,0.011141340561033046,0.004632810325810416,0.0007659900484169038,0.0,0.08380427748170134,0.09002368244539626,0.013466775648226627,0.0071419169830905585,0.010174097739624166,0.020120059617832736,0.00131970215847504,0.008131534783267455,0.010170031822419906,0.11222629096211215
LWK,0.0013158454355172303,0.004553614384343529,0.06470434672855749,0.08548329872608293,0.036669484576701064,0.08458635011706711,0.06709183725647093,0.03418148996058742,0.004113300152955233,0.09457569664238732,0.05142205561379668,0.06495785822746168,0.00038173044114094847,0.03558571445450114,0.055218612265870035,0.10304328057178651,0.08380427748170134,0.0,0.00021302941137330036,0.03692728652859565,0.046747762217053214,0.038234401985353106,0.02610931468131743,0.020239757354952828,0.045459690281422,0.042026642937299304,0.000851829868969817
MSL,0.0025505206000892887,0.006737852035106963,0.07026370575988883,0.09243794254878711,0.040715090962098584,0.09125772440485481,0.07221297854921149,0.038637220959672036,0.0024481735418115484,0.10159993783296045,0.05727808767280645,0.07106299770547109,2.8679113845455006e-05,0.039815671592818756,0.06091102998426159,0.1101250087829031,0.09002368244539626,0.00021302941137330036,0.0,0.04199893417719448,0.05187001923049716,0.04269690319717082,0.030076424181138,0.021830954218400426,0.05065696927217611,0.04718885593825238,0.00022118325585011823
