,ACB,ASW,BEB,CDX,CEU,CHB,CHS,CLM,ESN,FIN,GBR,GIH,GWD,IBS,ITU,JPT,KHV,LWK,MSL,MXL,PEL,PJL,PUR,SIB,STU,TSI,YRI
ACB,0.0,0.0002474684269457387,0.00027717065389961927,0.0009115350612005535,1.1435770674931635e-05,0.00010211601583959761,0.00020648910591608801,0.001104087265653946,5.9836244067873514e-06,0.0006588050609229951,0.00018373524358730931,0.0004289560091662561,0.002958616366030687,0.0004003222003542652,8.664483575611403e-05,0.0019840725817480255,6.6205266880213205e-06,0.00023228955066407873,0.0007869514674329034,0.0013175378017634303,0.0020032492813874024,0.0009578184056139344,0.0004281273257253694,0.04533886287459332,0.0003835594698047822,0.00047184772035865284,3.405107271829793e-07
ASW,0.0002474684269457387,0.0,3.442274434264033e-07,0.002155607345030512,0.0003204037459059801,0.0006731195127677856,1.8712809555319162e-06,0.0022917857823517686,0.00030826022930449535,0.001733104379940089,0.0008800723086436574,2.098650022100967e-05,0.0013032221740461169,0.0011706429331518667,4.4413173934319e-05,0.0036499933392556212,0.0003296507483963118,6.413339747616385e-07,0.00014097906224678377,0.0027496987807911267,0.0035638697480036494,0.00020394508309032021,0.0012528082826284447,0.04174208210535195,1.1693453967607712e-05,0.001399394459489799,0.00020109642971586906
BEB,0.00027717065389961927,3.442274434264033e-07,0.0,0.00212691370636011,0.00039838790928910245,0.000704913183510042,4.3021953582022185e-06,0.0024887659429784757,0.00036620976672895777,0.0017499169831563565,0.0008834407426384231,1.6066747052503583e-05,0.0015106839694717378,0.0013550677750667978,5.3874142329817345e-05,0.0036649787766258888,0.00037027269806429446,1.97710121359507e-06,0.0001278707237601119,0.002728179107340265,0.003743251552553454,0.00021112742474145734,0.0014012237201661293,0.05504722075060031,8.319737949322886e-06,0.00145197338489094,0.00025412843471404146
CDX,0.0009115350612005535,0.002155607345030512,0.00212691370636011,0.0,0.0006467373719237481,0.0004122809914781161,0.0018375864913750014,7.441570789660658e-06,0.0007337490597473093,2.187374042043115e-05,0.00028249923130031085,0.002597007529823892,0.006450894159390211,9.858113431927663e-05,0.0015655640447916049,0.00020355157173033834,0.000758951682931071,0.0020818654238063533,0.0034057419789882623,3.7154036364406085e-05,0.0002013229952286951,0.003528641577331006,9.076735377500837e-05,0.03017820548942009,0.0024528798342105043,7.560788421014855e-05,0.0008550286280144517
CEU,1.1435770674931635e-05,0.0003204037459059801,0.00039838790928910245,0.0006467373719237481,0.0,4.112104133929787e-05,0.00032611483739033,0.0008594015757753117,9.81236495105296e-07,0.00045245155884402616,9.273625197990497e-05,0.0005482852167324935,0.0035508611546595024,0.00027799523182576725,0.00015361342626664054,0.0015512893987600718,7.564429802566381e-07,0.00032473972971498364,0.0009264159205242161,0.0009811267665137814,0.0016189501785919339,0.0011982430189860992,0.0002928671180859941,0.05135202469715782,0.0005090149480899337,0.0003110867802364738,1.6454123870815537e-05
CHB,0.00010211601583959761,0.0006731195127677856,0.000704913183510042,0.0004122809914781161,4.112104133929787e-05,0.0,0.000575060076217256,0.0005290721953421257,5.664137507299391e-05,0.00024542428070627154,1.2528462609754607e-05,0.0009514247914652659,0.003964376766838929,9.71666495373659e-05,0.00037747692225501743,0.0011982045084831187,5.660789138113467e-05,0.0006452423510073134,0.0014606294105477962,0.0006974421678165645,0.0011969599168112019,0.0016398345495579581,0.00011053553343588303,0.03905869198145378,0.0008777198668859867,0.0001353260873564588,0.00010630837537511111
CHS,0.00020648910591608801,1.8712809555319162e-06,4.3021953582022185e-06,0.0018375864913750014,0.00032611483739033,0.000575060076217256,0.0,0.0022398561728438886,0.00029047788079784154,0.0015072797316728413,0.0007252866290926398,3.564935666565998e-05,0.0017208408260739369,0.0012074503557840768,2.6792029343906635e-05,0.0032626992508044636,0.0002878746043985596,4.172781707189985e-07,0.00017202729980638355,0.002389456467571558,0.003387841431183235,0.0002766428394934904,0.0012344621643770029,0.058243261545340055,2.4029648279078527e-05,0.0012479670733961988,0.00019612664336993635
CLM,0.001104087265653946,0.0022917857823517686,0.0024887659429784757,7.441570789660658e-06,0.0008594015757753117,0.0005290721953421257,0.0022398561728438886,0.0,0.0009402073737318242,5.445591661632807e-05,0.0003726652370954739,0.002894576947502514,0.007605398315500052,0.00016904019672283146,0.0018028110775025446,0.00013026989121379322,0.0009408248544371335,0.002329557424603074,0.003729071537290555,1.0803111675383997e-05,0.0001324888953319841,0.004109932912160056,0.00015619575937828446,0.034719131934536435,0.0027874536562059508,0.00013087040299496745,0.0011089926925289988
ESN,5.9836244067873514e-06,0.00030826022930449535,0.00036620976672895777,0.0007337490597473093,9.81236495105296e-07,5.664137507299391e-05,0.00029047788079784154,0.0009402073737318242,0.0,0.0005178936277245936,0.00011777427292753015,0.0005235045448834335,0.003379303513201268,0.00031402996919106303,0.00013541138658530613,0.0017049697622990138,1.1769209114203785e-08,0.00030363376385822275,0.0009045336483030788,0.0010958381698427378,0.0017550197842559213,0.0011364226351439203,0.00033330717975961217,0.04892015652627008,0.0004797334131283747,0.00036018987480909725,9.295945686200849e-06
FIN,0.0006588050609229951,0.001733104379940089,0.0017499169831563565,2.187374042043115e-05,0.00045245155884402616,0.00024542428070627154,0.0015072797316728413,5.445591661632807e-05,0.0005178936277245936,0.0,0.0001469592577529333,0.002156298427737893,0.005922888204927593,2.9862594755432603e-05,0.001226787570354731,0.00035942484687647493,0.0005311858950431249,0.0016844689993860266,0.0028969488443403297,0.00011607002126340252,0.00035733969387069547,0.0030694099317389633,2.4825731519450453e-05,0.032761100889928806,0.00203437981156242,1.6309433690091237e-05,0.0006313424898779461
