,ACB,ASW,BEB,CDX,CEU,CHB,CHS,CLM,ESN,FIN,GBR,GIH,GWD,IBS,ITU,JPT,KHV,LWK,MSL,MXL,PEL,PJL,PUR,SIB,STU,TSI,YRI
ACB,0.0,1.4993832469293478e-06,0.028369986426072247,0.029895635845031333,0.015177702659054179,0.021114624170304148,0.033371572228246285,0.014934823295118598,0.0029535473381434112,0.018015751227242277,0.009840092292040758,0.02276275839603037,0.0009758145523125639,0.009979657580786911,0.022279416310798834,0.0290661189393723,0.025062634301716,6.535760302434001e-05,0.0004161161872488893,0.02664303004142777,0.0479561439116473,0.020899711956202365,0.012320755688611433,0.009491291333968775,0.03217960014356271,0.01074322539163349,0.0024529328893297332
ASW,1.4993832469293478e-06,0.0,0.028037804983916365,0.03187073938599043,0.01387766340115979,0.021840741250237085,0.03165154776347702,0.014559830188722537,0.0025210168217435123,0.01874928170877774,0.010380284272475872,0.023579593828151415,0.0007787568622887341,0.009347126236697194,0.022877511723407882,0.0302194933378695,0.025073490947216094,4.593502309482948e-05,0.0003599336870202838,0.028060942187021248,0.04906857716668251,0.020038773667277656,0.011857192228308585,0.006972790996903097,0.032893225579396945,0.010938860899946575,0.0020125587563467116
BEB,0.028369986426072247,0.028037804983916365,0.0,7.472329666189394e-05,0.0019228104171387084,0.00047859212367137356,0.00020664624208600616,0.0021968953178527176,0.04778216327025249,0.0010806835741511095,0.004615156628036116,0.0002592100097201123,0.03727893120625503,0.004645440644605571,0.0003318682202571416,1.798066306129845e-05,0.00010012416160973908,0.03117737459871024,0.03561673504340121,5.372807689169661e-06,0.002825116323163804,0.0005884204540882857,0.003361227816163254,0.000651654338543841,0.0001532941208516524,0.004223427066036766,0.04434629676125756
CDX,0.029895635845031333,0.03187073938599043,7.472329666189394e-05,0.0,0.0024943136031379117,0.000940904455709395,2.9700193883648747e-05,0.002952967546507774,0.04696179989164063,0.0017438608468167591,0.005949956546491306,0.0006202423823677295,0.036009078165917786,0.00543741238049467,0.000725996107474693,2.02972593884788e-05,0.0003450383855776474,0.03355853903315388,0.038041786367666315,0.00012369250812892442,0.001973008640329768,0.0010278670769663324,0.004196750204009009,0.00076879253699581,1.3110325858668844e-05,0.005358717889225693,0.04249201271863012
CEU,0.015177702659054179,0.01387766340115979,0.0019228104171387084,0.0024943136031379117,0.0,0.00047288885262611026,0.003458923848949535,4.924620558026904e-06,0.03194891380458418,0.00012282902609269514,0.0005138592402574882,0.0007432246839455588,0.024225187531605272,0.0005863784662789928,0.0006455848624880968,0.0021755479157713926,0.0011456616320721425,0.016752452328074798,0.020031257625649904,0.0015983824152753393,0.008866959786779424,0.00040867794111133234,0.00017963486112501856,4.5671592955315535e-05,0.0030248141928541448,0.00039348681882686397,0.030304537253079463
CHB,0.021114624170304148,0.021840741250237085,0.00047859212367137356,0.000940904455709395,0.00047288885262611026,0.0,0.0012768514917506396,0.0006092621244650227,0.03721764863107808,0.00012306353147884154,0.00216330399031711,3.3626375991133444e-05,0.02787957813671988,0.002073663934166215,1.3729283429305267e-05,0.0006892148914830358,0.0001427216998227616,0.023874819741631942,0.02775737661294737,0.0003850718911965764,0.005671230276316882,5.304858198031131e-06,0.001268632496796,8.68307803262683e-05,0.0011832745529585307,0.0018531221137108721,0.03384807132578123
CHS,0.033371572228246285,0.03165154776347702,0.00020664624208600616,2.9700193883648747e-05,0.003458923848949535,0.0012768514917506396,0.0,0.003751681539789101,0.05545126530641328,0.002163218838663353,0.006543029329108182,0.0009010630526552714,0.044521074552166556,0.006917863341625827,0.0010364828329772573,9.880580111299502e-05,0.0005889264870124152,0.03591198853267855,0.040659278290540286,0.0002656234326931799,0.0014653680602830686,0.0015017846899507176,0.005263078067346529,0.0014535315254541614,3.951615851772047e-06,0.00618706804920338,0.05238672444110423
CLM,0.014934823295118598,0.014559830188722537,0.0021968953178527176,0.002952967546507774,4.924620558026904e-06,0.0006092621244650227,0.003751681539789101,0.0,0.030477576229649035,0.0001872327239901612,0.0004533200638583995,0.000924081573957595,0.022486179173124867,0.00047889988647466594,0.000807167269596182,0.0025517031949973696,0.0013560194148023127,0.016888456412577593,0.020221429918121123,0.0019161005753922371,0.009857830704829922,0.0005102652991886705,0.00012640242597913599,6.0234792674830776e-05,0.003465222707573558,0.00032764710795149445,0.02817659840718436
ESN,0.0029535473381434112,0.0025210168217435123,0.04778216327025249,0.04696179989164063,0.03194891380458418,0.03721764863107808,0.05545126530641328,0.030477576229649035,0.0,0.033082642370901506,0.02181358529324395,0.039253343955036685,0.0005207895802011942,0.023917023696794597,0.038908945247240895,0.046900899915827084,0.043219873968674986,0.0020887501455876347,0.0011355816379860235,0.04349809369266092,0.06994539981393076,0.03895912788602653,0.02700664169380668,0.02280143021525263,0.05130501954825696,0.023757737122919818,1.629129159096209e-05
FIN,0.018015751227242277,0.01874928170877774,0.0010806835741511095,0.0017438608468167591,0.00012282902609269514,0.00012306353147884154,0.002163218838663353,0.0001872327239901612,0.033082642370901506,0.0,0.001255860759992976,0.00028534330003184954,0.024369319321572207,0.0012032531112659928,0.0002188707175403731,0.0013946369509130073,0.0005285005106127181,0.020578873260111236,0.02419617404340662,0.0009434298650413017,0.007456415180606171,7.402926558197596e-05,0.0006078269093395531,4.186220913164098e-06,0.0020675138621663175,0.0010212490458512843,0.02995764563336833
GBR,0.009840092292040758,0.010380284272475872,0.004615156628036116,0.005949956546491306,0.0005138592402574882,0.00216330399031711,0.006543029329108182,0.0004533200638583995,0.02181358529324395,0.001255860759992976,0.0,0.0027360551523913867,0.015039221505997662,1.4780438492755567e-07,0.0025184669317498878,0.005290824812694351,0.00338697904530556,0.011719241094471247,0.014495562557152479,0.004372874553131177,0.014773311199020742,0.001874987365276164,0.00010281182135870917,0.00042881033669853977,0.0065260145996315685,1.1651825061295294e-05,0.019494746799296764
GIH,0.02276275839603037,0.023579593828151415,0.0002592100097201123,0.0006202423823677295,0.0007432246839455588,3.3626375991133444e-05,0.0009010630526552714,0.000924081573957595,0.039253343955036685,0.00028534330003184954,0.0027360551523913867,0.0,0.029598623311769965,0.0026109907741855,4.3793538152519455e-06,0.0004185369077015864,3.796490550791841e-05,0.02565350998862234,0.029665356883164615,0.00019139759871543533,0.004833000026202858,6.409618433524233e-05,0.0017045194914851855,0.0001706309734018246,0.0008180004462877442,0.0023833608047162604,0.03571986469352882
GWD,0.0009758145523125639,0.0007787568622887341,0.03727893120625503,0.036009078165917786,0.024225187531605272,0.02787957813671988,0.044521074552166556,0.022486179173124867,0.0005207895802011942,0.024369319321572207,0.015039221505997662,0.029598623311769965,0.0,0.017179775021961417,0.029352797805977108,0.03610922730909071,0.03321773005453474,0.0005236814316426875,0.00012323748553724837,0.033121701568667505,0.05635412519641297,0.02988196616323831,0.019626481207168967,0.019249517285841622,0.04003837915932827,0.01669598848919238,0.0003551379326740906
IBS,0.009979657580786911,0.009347126236697194,0.004645440644605571,0.00543741238049467,0.0005863784662789928,0.002073663934166215,0.006917863341625827,0.00047889988647466594,0.023917023696794597,0.0012032531112659928,1.4780438492755567e-07,0.0026109907741855,0.017179775021961417,0.0,0.0024317677518921024,0.004992802925061788,0.003367353274334659,0.01141984336570635,0.014173496985134655,0.004068411550109993,0.014108359249606945,0.001978411985190658,0.00011504530673511325,0.0006449224407289488,0.0062783405717902205,1.4075900417959699e-05,0.02233765627610992
ITU,0.022279416310798834,0.022877511723407882,0.0003318682202571416,0.000725996107474693,0.0006455848624880968,1.3729283429305267e-05,0.0010364828329772573,0.000807167269596182,0.038908945247240895,0.0002188707175403731,0.0025184669317498878,4.3793538152519455e-06,0.029352797805977108,0.0024317677518921024,0.0,0.0005080237683750034,6.822640352960945e-05,0.025068163448270557,0.02904834474497491,0.0002530717825148098,0.00512868440675073,3.5615579572473676e-05,0.0015498799326131394,0.00014122352712959347,0.0009425726285130324,0.0021881622992559356,0.035502267643566086
JPT,0.0290661189393723,0.0302194933378695,1.798066306129845e-05,2.02972593884788e-05,0.0021755479157713926,0.0006892148914830358,9.880580111299502e-05,0.0025517031949973696,0.046900899915827084,0.0013946369509130073,0.005290824812694351,0.0004185369077015864,0.03610922730909071,0.004992802925061788,0.0005080237683750034,0.0,0.00020217346534252899,0.032424632813052634,0.036888219656647375,4.3708523083392325e-05,0.0024090778941550377,0.0007874605470430129,0.003749189247167966,0.0006830449693947265,6.635304820674282e-05,0.004782079889028083,0.042774145238392826
KHV,0.025062634301716,0.025073490947216094,0.00010012416160973908,0.0003450383855776474,0.0011456616320721425,0.0001427216998227616,0.0005889264870124152,0.0013560194148023127,0.043219873968674986,0.0005285005106127181,0.00338697904530556,3.796490550791841e-05,0.03321773005453474,0.003367353274334659,6.822640352960945e-05,0.00020217346534252899,0.0,0.027810324736666395,0.03201212939373171,5.7914457767170905e-05,0.003998387317115453,0.00020289961492982132,0.0022939439747003115,0.00032851521981915635,0.0005016231937050888,0.0030314795676804223,0.03986544528425643
LWK,6.535760302434001e-05,4.593502309482948e-05,0.03117737459871024,0.03355853903315388,0.016752452328074798,0.023874819741631942,0.03591198853267855,0.016888456412577593,0.0020887501455876347,0.020578873260111236,0.011719241094471247,0.02565350998862234,0.0005236814316426875,0.01141984336570635,0.025068163448270557,0.032424632813052634,0.027810324736666395,0.0,0.00015236161725629434,0.02995301074304363,0.05219308037562083,0.023067370348407706,0.0140370424773464,0.009619886681946662,0.035554764549981493,0.012584553416891185,0.001666010886207937
MSL,0.0004161161872488893,0.0003599336870202838,0.03561673504340121,0.038041786367666315,0.020031257625649904,0.02775737661294737,0.040659278290540286,0.020221429918121123,0.0011355816379860235,0.02419617404340662,0.014495562557152479,0.029665356883164615,0.00012323748553724837,0.014173496985134655,0.02904834474497491,0.036888219656647375,0.03201212939373171,0.00015236161725629434,0.0,0.03423387823244789,0.05777508428382244,0.026924443033592343,0.01708941655857061,0.011465646648230375,0.04023915913252431,0.015480260734521278,0.0008460223355950151
MXL,0.02664303004142777,0.028060942187021248,5.372807689169661e-06,0.00012369250812892442,0.0015983824152753393,0.0003850718911965764,0.0002656234326931799,0.0019161005753922371,0.04349809369266092,0.0009434298650413017,0.004372874553131177,0.00019139759871543533,0.033121701568667505,0.004068411550109993,0.0002530717825148098,4.3708523083392325e-05,5.7914457767170905e-05,0.02995301074304363,0.03423387823244789,0.0,0.0030931120844966097,0.0004599185013056782,0.0029623137919537893,0.00045736238902368924,0.00021704060562021966,0.003895950506701664,0.03945036727837192
PEL,0.0479561439116473,0.04906857716668251,0.002825116323163804,0.001973008640329768,0.008866959786779424,0.005671230276316882,0.0014653680602830686,0.009857830704829922,0.06994539981393076,0.007456415180606171,0.014773311199020742,0.004833000026202858,0.05635412519641297,0.014108359249606945,0.00512868440675073,0.0024090778941550377,0.003998387317115453,0.05219308037562083,0.05777508428382244,0.0030931120844966097,0.0,0.005867456287203269,0.012062503856140551,0.003511323835913101,0.0016775315843335884,0.013953506437794807,0.06460833404609462
PJL,0.020899711956202365,0.020038773667277656,0.0005884204540882857,0.0010278670769663324,0.00040867794111133234,5.304858198031131e-06,0.0015017846899507176,0.0005102652991886705,0.03895912788602653,7.402926558197596e-05,0.001874987365276164,6.409618433524233e-05,0.02988196616323831,0.001978411985190658,3.5615579572473676e-05,0.0007874605470430129,0.00020289961492982132,0.023067370348407706,0.026924443033592343,0.0004599185013056782,0.005867456287203269,0.0,0.0011455508100589008,7.806980922771701e-05,0.001317487493643533,0.0016369058027917598,0.03641512357215518
PUR,0.012320755688611433,0.011857192228308585,0.003361227816163254,0.004196750204009009,0.00017963486112501856,0.001268632496796,0.005263078067346529,0.00012640242597913599,0.02700664169380668,0.0006078269093395531,0.00010281182135870917,0.0017045194914851855,0.019626481207168967,0.00011504530673511325,0.0015498799326131394,0.003749189247167966,0.0022939439747003115,0.0140370424773464,0.01708941655857061,0.0029623137919537893,0.012062503856140551,0.0011455508100589008,0.0,0.0002657190056428634,0.004854568307044911,4.724960139157198e-05,0.025024835177492218
SIB,0.009491291333968775,0.006972790996903097,0.000651654338543841,0.00076879253699581,4.5671592955315535e-05,8.68307803262683e-05,0.0014535315254541614,6.0234792674830776e-05,0.02280143021525263,4.186220913164098e-06,0.00042881033669853977,0.0001706309734018246,0.019249517285841622,0.0006449224407289488,0.00014122352712959347,0.0006830449693947265,0.00032851521981915635,0.009619886681946662,0.011465646648230375,0.00045736238902368924,0.003511323835913101,7.806980922771701e-05,0.0002657190056428634,0.0,0.0010445926574643182,0.00038555460981351997,0.02405039855341242
STU,0.03217960014356271,0.032893225579396945,0.0001532941208516524,1.3110325858668844e-05,0.0030248141928541448,0.0011832745529585307,3.951615851772047e-06,0.003465222707573558,0.05130501954825696,0.0020675138621663175,0.0065260145996315685,0.0008180004462877442,0.04003837915932827,0.0062783405717902205,0.0009425726285130324,6.635304820674282e-05,0.0005016231937050888,0.035554764549981493,0.04023915913252431,0.00021704060562021966,0.0016775315843335884,0.001317487493643533,0.004854568307044911,0.0010445926574643182,0.0,0.005992864355602296,0.04713199622445183
TSI,0.01074322539163349,0.010938860899946575,0.004223427066036766,0.005358717889225693,0.00039348681882686397,0.0018531221137108721,0.00618706804920338,0.00032764710795149445,0.023757737122919818,0.0010212490458512843,1.1651825061295294e-05,0.0023833608047162604,0.01669598848919238,1.4075900417959699e-05,0.0021881622992559356,0.004782079889028083,0.0030314795676804223,0.012584553416891185,0.015480260734521278,0.003895950506701664,0.013953506437794807,0.0016369058027917598,4.724960139157198e-05,0.00038555460981351997,0.005992864355602296,0.0,0.021519042878942286
YRI,0.0024529328893297332,0.0020125587563467116,0.04434629676125756,0.04249201271863012,0.030304537253079463,0.03384807132578123,0.05238672444110423,0.02817659840718436,1.629129159096209e-05,0.02995764563336833,0.019494746799296764,0.03571986469352882,0.0003551379326740906,0.02233765627610992,0.035502267643566086,0.042774145238392826,0.03986544528425643,0.001666010886207937,0.0008460223355950151,0.03945036727837192,0.06460833404609462,0.03641512357215518,0.025024835177492218,0.02405039855341242,0.04713199622445183,0.021519042878942286,0.0
