,ACB,ASW,BEB,CDX,CEU,CHB,CHS,CLM,ESN,FIN,GBR,GIH,GWD,IBS,ITU,JPT,KHV,LWK,MSL,MXL,PEL,PJL,PUR,SIB,STU,TSI,YRI
ACB,0.0,2.6973957558396884e-05,0.0003833092457545348,4.405424828313818e-05,0.0012323565453706534,4.7173190898092754e-05,3.729598006793546e-05,0.0006565240428991919,2.1284343606066537e-05,0.0012055213316793806,0.0012827419751686028,0.0005461126996446799,1.0523614326952927e-05,0.0012475322599436337,0.0004570447821953996,4.1238787042831603e-05,5.755564350854793e-05,1.2326562656084895e-05,1.2360497795186474e-05,0.0004958148425090802,0.00022930567019778452,0.0005231640969205515,0.0006379930357379968,0.0010321775815714737,0.0003960815597690334,0.0012695761838095656,2.2484275931106313e-05
ASW,2.6973957558396884e-05,0.0,0.0001888940173139395,1.8039382803208761e-06,0.0007795587587438976,2.3478708104769988e-06,6.394467932995299e-07,0.00038308218329830864,8.798916082094613e-05,0.0008607311885156577,0.0009459372418458532,0.0003201452721163703,6.180369485727634e-05,0.0008099860881898809,0.00025090221974776654,1.1835708094436653e-06,4.800504411866221e-06,7.657685275459127e-05,7.666061688727148e-05,0.00028649114784151723,9.084204770713137e-05,0.0002805064713269508,0.00036555862425658787,0.0005692254685028507,0.00020366434927902939,0.0008981221887153556,8.560290753125643e-05
BEB,0.0003833092457545348,0.0001888940173139395,0.0,0.00016259540397724312,0.00025605668820854,0.00015978205500988293,0.00017737778776340786,3.663820681327867e-05,0.0005844782515671621,0.00022897628086699984,0.0002653212386426741,1.4467875493786333e-05,0.0005109380821898358,0.00025489690609583715,3.2354780023168e-06,0.00017146283813955938,0.00014422876499814595,0.0005262506933566878,0.0005264714856475654,7.5787321054005024e-06,1.984723862346514e-05,1.1448262161153268e-05,3.279662063301414e-05,0.0003589586994706738,9.239185922881398e-08,0.0002561896556729087,0.0005814154445204869
CDX,4.405424828313818e-05,1.8039382803208761e-06,0.00016259540397724312,0.0,0.0007705683959689308,4.040364097886533e-08,2.2132231376771779e-07,0.00035059841046190023,0.00012115698418991334,0.0007963265029078515,0.0008701716348007014,0.00028021721048979273,8.983955509897955e-05,0.0007896957982376399,0.00021615620419899602,6.139797102684399e-08,8.083437493449992e-07,0.00010393901782374279,0.00010403769764359091,0.00024664886549029003,7.043891325690504e-05,0.00025404397198265145,0.0003356608913522371,0.0006351400832813901,0.0001734103954505919,0.0008402210995441322,0.00011944004007021568
CEU,0.0012323565453706534,0.0007795587587438976,0.00025605668820854,0.0007705683959689308,0.0,0.0007815704995650906,0.000874209413324365,0.00010024850190496492,0.0016262367850585397,6.914885285778698e-07,1.5965955749258923e-07,0.00014181808881300935,0.0015268634700935002,2.379422525142729e-08,0.0001941448603075954,0.0008081248638190826,0.0007708709322613021,0.001435387608139063,0.0014357434463192437,0.00016424393958644072,0.0004122950611824896,0.0001619963750421271,0.00010750990816271765,6.185493784172617e-05,0.00024045473911340698,3.92810232925051e-09,0.0016488854779887722
CHB,4.7173190898092754e-05,2.3478708104769988e-06,0.00015978205500988293,4.040364097886533e-08,0.0007815704995650906,0.0,4.523090052308632e-07,0.0003480128390288745,0.00012825834118837138,0.0007840187168661094,0.0008535220718677143,0.0002739448204132146,9.635273766298397e-05,0.0007959143045317094,0.00021104913170194914,2.0199361120262438e-07,4.949689593621792e-07,0.0001082106614326356,0.00010831143913390968,0.0002400191810357471,6.784815061573727e-05,0.0002525905911846651,0.00033392607636114935,0.0006785446909796288,0.0001693411380969591,0.0008307945979704995,0.00012743834070733372
CHS,3.729598006793546e-05,6.394467932995299e-07,0.00017737778776340786,2.2132231376771779e-07,0.000874209413324365,4.523090052308632e-07,0.0,0.00037359363401934183,0.00011739408876044047,0.000767934232644904,0.0008184720453269018,0.00028077318119441803,9.024929570777493e-05,0.0008645279846895148,0.000220750597709206,5.521964584035102e-08,1.9091974343816515e-06,8.896132543571136e-05,8.905017947159957e-05,0.00024409928356308817,7.83778590331835e-05,0.0002809711613727988,0.00036322204426849204,0.0009615612002573987,0.00018165904640787483,0.0008267692076636558,0.00012168883188708147
CLM,0.0006565240428991919,0.00038308218329830864,3.663820681327867e-05,0.00035059841046190023,0.00010024850190496492,0.0003480128390288745,0.00037359363401934183,0.0,0.0009124947486426757,8.367193609077902e-05,0.0001070752587512712,4.857855594832819e-06,0.0008162870661551292,9.864753355218039e-05,1.783140138187325e-05,0.00036527986344722933,0.00032614597874991154,0.0008377584643864245,0.0008380371213130173,1.0438072079555002e-05,0.0001103474004929178,7.082265001978798e-06,1.0503462789906017e-07,0.00021122953724202464,3.2883124892911175e-05,9.982604293650718e-05,0.0009046995831062491
ESN,2.1284343606066537e-05,8.798916082094613e-05,0.0005844782515671621,0.00012115698418991334,0.0016262367850585397,0.00012825834118837138,0.00011739408876044047,0.0009124947486426757,0.0,0.0014846769027985996,0.0015500658191260717,0.0007573873494560592,1.7585958089257825e-06,0.0016208896514522504,0.0006572175251474766,0.00011868326671752906,0.00014808995101715902,1.2244594732518599e-06,1.2139864667829284e-06,0.0006932422506562787,0.00038699231542408096,0.0007633339454957125,0.0008961628203734561,0.0014899230138273752,0.0005898574706582781,0.001570234824169241,4.067693565534279e-08
FIN,0.0012055213316793806,0.0008607311885156577,0.00022897628086699984,0.0007963265029078515,6.914885285778698e-07,0.0007840187168661094,0.000767934232644904,8.367193609077902e-05,0.0014846769027985996,0.0,1.6631637462801443e-06,0.0001314830042624087,0.0013229112305258397,4.831301758227219e-07,0.00018169744323235737,0.0008090274907035854,0.0007350820304427092,0.0014750931247905288,0.0014754645836543316,0.00015670928708337836,0.0003851100747284316,0.0001363207752316595,8.888767653723311e-05,4.8910089853515996e-05,0.00022349679986410348,6.444702886163833e-07,0.0014303859447648884
GBR,0.0012827419751686028,0.0009459372418458532,0.0002653212386426741,0.0008701716348007014,1.5965955749258923e-07,0.0008535220718677143,0.0008184720453269018,0.0001070752587512712,0.0015500658191260717,1.6631637462801443e-06,0.0,0.00016205340885537455,0.0013746427411274104,3.0958153233035936e-07,0.00021682055175301364,0.0008791397369012229,0.0007963498937620676,0.0015696252188060326,0.001570007242290119,0.00019036815022554173,0.00043190081046284813,0.00016431544325113496,0.00011256449773367329,3.5408226252993585e-05,0.0002613230556537326,2.3604584133874068e-07,0.0014824812111599822
GIH,0.0005461126996446799,0.0003201452721163703,1.4467875493786333e-05,0.00028021721048979273,0.00014181808881300935,0.0002739448204132146,0.00028077318119441803,4.857855594832819e-06,0.0007573873494560592,0.0001314830042624087,0.00016205340885537455,0.0,0.000658744409117975,0.00014253219544931278,4.095591614455456e-06,0.0002889832483928845,0.00024886765866573177,0.0007264708280858359,0.000726731843522219,1.096348773002426e-06,6.816569387807305e-05,1.9144493137063498e-07,3.518169611919505e-06,0.00021890451421047877,1.2409366095958813e-05,0.00015063983236406433,0.0007360529683571509
GWD,1.0523614326952927e-05,6.180369485727634e-05,0.0005109380821898358,8.983955509897955e-05,0.0015268634700935002,9.635273766298397e-05,9.024929570777493e-05,0.0008162870661551292,1.7585958089257825e-06,0.0013229112305258397,0.0013746427411274104,0.000658744409117975,0.0,0.0015040439818010398,0.0005691358368316643,8.829368383895972e-05,0.00011455753771298549,3.725601521139245e-08,3.9069664080674664e-08,0.0005977355025371931,0.00032764869890047703,0.0006829942367861216,0.0008045158088687796,0.0015729743230660882,0.0005102416180727639,0.001409978449336602,2.352421011227354e-06
IBS,0.0012475322599436337,0.0008099860881898809,0.00025489690609583715,0.0007896957982376399,2.379422525142729e-08,0.0007959143045317094,0.0008645279846895148,9.864753355218039e-05,0.0016208896514522504,4.831301758227219e-07,3.0958153233035936e-07,0.00014253219544931278,0.0015040439818010398,0.0,0.00019532472675937293,0.0008225680449613902,0.0007764974908187099,0.0014683361299466242,0.001468701035451348,0.0001659964011503012,0.0004138800368578693,0.00015935911988681513,0.00010553809746519624,5.883727815117401e-05,0.00024142084237418983,7.778897276256244e-09,0.0016245439189650625
ITU,0.0004570447821953996,0.00025090221974776654,3.2354780023168e-06,0.00021615620419899602,0.0001941448603075954,0.00021104913170194914,0.000220750597709206,1.783140138187325e-05,0.0006572175251474766,0.00018169744323235737,0.00021682055175301364,4.095591614455456e-06,0.0005691358368316643,0.00019532472675937293,0.0,0.00022432448232279702,0.00019000528397937382,0.0006211484994215993,0.0006213898724974714,9.515143126418536e-07,3.90677089945219e-05,2.43765490259195e-06,1.5121012437398636e-05,0.0002686912513490961,2.2580278157269737e-06,0.0002044214929895228,0.0006416062563561993
JPT,4.1238787042831603e-05,1.1835708094436653e-06,0.00017146283813955938,6.139797102684399e-08,0.0008081248638190826,2.0199361120262438e-07,5.521964584035102e-08,0.00036527986344722933,0.00011868326671752906,0.0008090274907035854,0.0008791397369012229,0.0002889832483928845,8.829368383895972e-05,0.0008225680449613902,0.00022432448232279702,0.0,1.3268109043818335e-06,9.904699483501268e-05,9.914340704024614e-05,0.0002540244974867587,7.548853975699558e-05,0.0002673179344504285,0.00035087417211308614,0.0006996501345327544,0.0001813024376613482,0.0008568754827896369,0.00011819113503548992
KHV,5.755564350854793e-05,4.800504411866221e-06,0.00014422876499814595,8.083437493449992e-07,0.0007708709322613021,4.949689593621792e-07,1.9091974343816515e-06,0.00032614597874991154,0.00014808995101715902,0.0007350820304427092,0.0007963498937620676,0.00024886765866573177,0.00011455753771298549,0.0007764974908187099,0.00019000528397937382,1.3268109043818335e-06,0.0,0.00012224477689121773,0.0001223514457195238,0.00021567464323282725,5.710769798433685e-05,0.00023570897575657596,0.0003138779419230716,0.000738279253026831,0.0001514934926467066,0.0007850825363876206,0.00014898463471076445
LWK,1.2326562656084895e-05,7.657685275459127e-05,0.0005262506933566878,0.00010393901782374279,0.001435387608139063,0.0001082106614326356,8.896132543571136e-05,0.0008377584643864245,1.2244594732518599e-06,0.0014750931247905288,0.0015696252188060326,0.0007264708280858359,3.725601521139245e-08,0.0014683361299466242,0.0006211484994215993,9.904699483501268e-05,0.00012224477689121773,0.0,2.3455915999328397e-11,0.0006706688609277922,0.0003454017443871968,0.0006809717217114358,0.0008133907972215275,0.00107067090983201,0.0005470820154106702,0.0015379881913839665,1.630140415555125e-06
MSL,1.2360497795186474e-05,7.666061688727148e-05,0.0005264714856475654,0.00010403769764359091,0.0014357434463192437,0.00010831143913390968,8.905017947159957e-05,0.0008380371213130173,1.2139864667829284e-06,0.0014754645836543316,0.001570007242290119,0.000726731843522219,3.9069664080674664e-08,0.001468701035451348,0.0006213898724974714,9.914340704024614e-05,0.0001223514457195238,2.3455915999328397e-11,0.0,0.0006709194644743867,0.00034558115831930924,0.0006812211590831703,0.0008136645031152472,0.0010708867207495731,0.0005473083520193537,0.0015383678743627642,1.6183136562609749e-06
MXL,0.0004958148425090802,0.00028649114784151723,7.5787321054005024e-06,0.00024664886549029003,0.00016424393958644072,0.0002400191810357471,0.00024409928356308817,1.0438072079555002e-05,0.0006932422506562787,0.00015670928708337836,0.00019036815022554173,1.096348773002426e-06,0.0005977355025371931,0.0001659964011503012,9.515143126418536e-07,0.0002540244974867587,0.00021567464323282725,0.0006706688609277922,0.0006709194644743867,0.0,5.171012515557898e-05,3.4919985930788096e-07,8.398067051712356e-06,0.00022973910184066258,6.109538449271868e-06,0.0001771819589612288,0.000670808324491929
PEL,0.00022930567019778452,9.084204770713137e-05,1.984723862346514e-05,7.043891325690504e-05,0.0004122950611824896,6.784815061573727e-05,7.83778590331835e-05,0.0001103474004929178,0.00038699231542408096,0.0003851100747284316,0.00043190081046284813,6.816569387807305e-05,0.00032764869890047703,0.0004138800368578693,3.90677089945219e-05,7.548853975699558e-05,5.710769798433685e-05,0.0003454017443871968,0.00034558115831930924,5.171012515557898e-05,0.0,6.111117415443812e-05,0.00010339924358252546,0.0004707522502227278,2.2646757148790838e-05,0.00042019574808439906,0.00038419815340977055
PJL,0.0005231640969205515,0.0002805064713269508,1.1448262161153268e-05,0.00025404397198265145,0.0001619963750421271,0.0002525905911846651,0.0002809711613727988,7.082265001978798e-06,0.0007633339454957125,0.0001363207752316595,0.00016431544325113496,1.9144493137063498e-07,0.0006829942367861216,0.00015935911988681513,2.43765490259195e-06,0.0002673179344504285,0.00023570897575657596,0.0006809717217114358,0.0006812211590831703,3.4919985930788096e-07,6.111117415443812e-05,0.0,5.475018634317184e-06,0.000291108245700898,9.36796025411505e-06,0.0001574904991152498,0.0007647676614780059
