,ACB,ASW,BEB,CDX,CEU,CHB,CHS,CLM,ESN,FIN,GBR,GIH,GWD,IBS,ITU,JPT,KHV,LWK,MSL,MXL,PEL,PJL,PUR,SIB,STU,TSI,YRI
ACB,0.0,7.363316216108388e-05,0.00531959170392643,0.0002579300432920889,0.008965410195752775,0.0004022531344252775,0.0008921809938507135,0.00603982251076097,0.0004820490090137246,0.013572259038883434,0.010400407177362764,0.00197941721349729,0.0016695531999677865,0.010526417281619507,0.0054022429990523545,0.00261933023107323,0.0002088195417044294,7.128027739613873e-05,0.0004152778612321656,0.011059889981095286,0.01644670106634804,0.008978419148904692,0.006333690204232209,0.0059798012219889835,0.011478609397692723,0.013694788352175254,0.001112780599165043
ASW,7.363316216108388e-05,0.0,0.0038695136807570508,5.359654246817532e-05,0.0065489919663157545,0.00012443485579363792,0.0003975074734115663,0.004466785942289896,0.000842554918848989,0.01180805238942902,0.008976241505217844,0.0012568616918645465,0.002101686990014551,0.00803665941207084,0.004125201046426754,0.0017708972792983232,3.001627198291619e-05,0.0002914664465116105,0.0008336712965436056,0.009462915394789294,0.013893465281588076,0.006834946220934491,0.004662390917984029,0.003584694714274952,0.009491897579999464,0.011708397344465209,0.0015141812421529512
BEB,0.00531959170392643,0.0038695136807570508,0.0,0.003165519995181251,0.000521668318002719,0.0027742401372823295,0.0017970856247981793,2.3011052552065757e-05,0.008920381097106415,0.001967169333388898,0.0009095684706741898,0.0007958790891925173,0.012618267981179949,0.0009073148810217574,5.9707851753524e-07,0.0004638872455616265,0.003425911399025533,0.00656230976211993,0.008632730331903954,0.0010902432228996968,0.00308787612406277,0.0004858473213393094,4.541038137439392e-05,0.0006260407084045494,0.0011855490185862163,0.0019860514396356386,0.010996462791437202
CDX,0.0002579300432920889,5.359654246817532e-05,0.003165519995181251,0.0,0.005897546128289576,1.5426075345678052e-05,0.00018370060150799401,0.0037208321702335945,0.001379004355954332,0.010330418561786812,0.0076301739052056505,0.0008097735663551409,0.002998688433382783,0.007234934077765625,0.003311804700307834,0.0012362900430381806,2.900009361313285e-06,0.0006059049078461453,0.0013362713695317648,0.008135037672768672,0.012571445511791682,0.006017585840908919,0.003929518323083654,0.0036368255986988685,0.0083179140278287,0.010329617317839683,0.0022588953971284195
CEU,0.008965410195752775,0.0065489919663157545,0.000521668318002719,0.005897546128289576,0.0,0.005464685729114004,0.004329845673289474,0.0003273686372521801,0.013904710974708826,0.00043759049668220265,5.3004875427615784e-05,0.002491614047771185,0.01885417568636266,5.0606286078905394e-05,0.0004687461356015659,0.0018849481824457527,0.006512968213572535,0.010299644489588498,0.01281052551113627,9.908464816103875e-05,0.0010196454048840094,1.006294803625993e-06,0.00026306536327946244,7.959880606128892e-05,0.00012564461450540216,0.0004454461069027542,0.01681983093861515
CHB,0.0004022531344252775,0.00012443485579363792,0.0027742401372823295,1.5426075345678052e-05,0.005464685729114004,0.0,9.765738999774244e-05,0.0032990040341940147,0.0017135463293332788,0.009499808186539456,0.006903769752375988,0.0006023417261596966,0.0035240827483136758,0.006716747575496647,0.002879605026239008,0.0009767917255553338,3.1693442653719285e-05,0.0008160887392715176,0.0016422425280285741,0.007403085722346434,0.011758682241730403,0.005516240745511828,0.0035068494760356283,0.003578502487130509,0.007636761287923691,0.009534602387521622,0.00270596044645473
CHS,0.0008921809938507135,0.0003975074734115663,0.0017970856247981793,0.00018370060150799401,0.004329845673289474,9.765738999774244e-05,0.0,0.002222855242095737,0.0027411824756861467,0.007025265265620503,0.004839371232400608,0.0001965166021946901,0.005174616974710807,0.005296241314749371,0.0017953861853811771,0.0004223992073876501,0.0002444738581342175,0.0014199246117588466,0.0024379436801356628,0.005302321959770455,0.00927588368436984,0.004162421496254633,0.002422238556979894,0.0037669569952947144,0.005681195858238274,0.007169176094683801,0.004129289856621599
CLM,0.00603982251076097,0.004466785942289896,2.3011052552065757e-05,0.0037208321702335945,0.0003273686372521801,0.0032990040341940147,0.002222855242095737,0.0,0.009841053597918259,0.0015700109519263318,0.0006480255010244757,0.001087531453482574,0.013693213102611299,0.000642105186602173,1.5994203587337726e-05,0.0006920275904915219,0.004009311662052251,0.007354644651678775,0.00953752179842038,0.0008003556532745786,0.002579483588158589,0.00029756989544887154,3.776625235838839e-06,0.00046326286155845336,0.000879448903629026,0.0015847898810194174,0.012002406169285688
ESN,0.0004820490090137246,0.000842554918848989,0.008920381097106415,0.001379004355954332,0.013904710974708826,0.0017135463293332788,0.0027411824756861467,0.009841053597918259,0.0,0.018080550103922795,0.014347380288639265,0.004257058667353864,0.0003885018340439158,0.015610846393114438,0.008777459059499651,0.005156759170909993,0.0013219322123189442,0.00017934443778159132,2.851719885435769e-06,0.015232697285566579,0.02186145150337099,0.013612192083366621,0.010275125486453499,0.010376524262780861,0.016077782812097687,0.018424634462701782,0.00014455912045712338
FIN,0.013572259038883434,0.01180805238942902,0.001967169333388898,0.010330418561786812,0.00043759049668220265,0.009499808186539456,0.007025265265620503,0.0015700109519263318,0.018080550103922795,0.0,0.00020229978812559126,0.0053512939232124536,0.022158134091398576,0.00020713598001623185,0.001946442749639209,0.004417595492535169,0.010401946712512395,0.015835309286064157,0.018939329887045588,0.0001321869234239383,0.00011421418784287617,0.0005040883116154471,0.0014093265058179425,4.867301860982016e-05,0.00010809088031509831,2.2286328691093413e-09,0.02011606397113882
